snapshot_id,provider_league_id,league_name,season,observed_at_utc,team_id,team_name,team_logo_url,rank,points,played,win,draw,lose,goals_for,goals_against,goals_diff,form,group_name,description,source
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,535,Malaga,https://media.api-sports.io/football/teams/535.png,17,3,5,0,3,2,2,8,-6,DDLDL,La Liga,,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,533,Villarreal,https://media.api-sports.io/football/teams/533.png,18,2,5,0,2,3,7,10,-3,LLLDD,La Liga,Relegation,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,797,Elche,https://media.api-sports.io/football/teams/797.png,19,2,5,0,2,3,6,13,-7,DLLLD,La Liga,Relegation,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,532,Valencia,https://media.api-sports.io/football/teams/532.png,20,1,5,0,1,4,1,10,-9,LLLLD,La Liga,Relegation,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,529,Barcelona,https://media.api-sports.io/football/teams/529.png,1,18,6,6,0,0,28,6,22,WWWWW,La Liga,Champions League league stage,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,2,15,6,5,0,1,17,6,11,WWLWW,La Liga,Champions League league stage,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,3,13,6,4,1,1,14,6,8,WWLWD,La Liga,Champions League league stage,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,536,Sevilla,https://media.api-sports.io/football/teams/536.png,4,13,6,4,1,1,9,6,3,WWDLW,La Liga,Champions League league stage,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,543,Real Betis,https://media.api-sports.io/football/teams/543.png,5,12,5,4,0,1,7,6,1,WWLWW,La Liga,Europa League league stage,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,542,Alaves,https://media.api-sports.io/football/teams/542.png,6,10,6,3,1,2,11,6,5,LLWWD,La Liga,ECL Playoffs,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,7,9,6,2,3,1,9,7,2,LDWWD,La Liga,,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,540,Espanyol,https://media.api-sports.io/football/teams/540.png,8,7,6,2,1,3,9,7,2,LWDLL,La Liga,,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,9,7,5,2,1,2,7,6,1,DWWLL,La Liga,,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,4665,Racing Santander,https://media.api-sports.io/football/teams/4665.png,10,7,6,2,1,3,11,16,-5,LWLWL,La Liga,,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,11,7,6,2,1,3,10,15,-5,WLWLD,La Liga,,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,12,7,6,2,1,3,6,11,-5,LWDWL,La Liga,,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,727,Osasuna,https://media.api-sports.io/football/teams/727.png,13,7,6,2,1,3,5,12,-7,LLLWW,La Liga,,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,539,Levante,https://media.api-sports.io/football/teams/539.png,14,5,5,1,2,2,7,9,-2,LDWDL,La Liga,,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,546,Getafe,https://media.api-sports.io/football/teams/546.png,15,5,5,1,2,2,3,6,-3,DDLWL,La Liga,,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,16,4,6,0,4,2,3,6,-3,DDDLL,La Liga,,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,532,Valencia,https://media.api-sports.io/football/teams/532.png,17,4,6,1,1,4,2,10,-8,WLLLL,La Liga,,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,535,Malaga,https://media.api-sports.io/football/teams/535.png,18,3,5,0,3,2,2,8,-6,DDLDL,La Liga,Relegation,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,533,Villarreal,https://media.api-sports.io/football/teams/533.png,19,2,5,0,2,3,7,10,-3,LLLDD,La Liga,Relegation,api-football:/standings
standings-7f506110d34968158d1a,140,La Liga,2026,2026-09-17T18:37:56Z,797,Elche,https://media.api-sports.io/football/teams/797.png,20,2,6,0,2,4,8,16,-8,LDLLL,La Liga,Relegation,api-football:/standings
