provider_league_id,season,team_id,team_name,team_country,venue_id,venue_name,venue_address,venue_city,nominal_capacity,surface_provider,operational_capacity,operational_capacity_status,roof_type,roof_state_default,enclosure_class,wind_exposure_class,acoustic_enclosure_class,pitch_orientation_deg,attendance_actual_source_status,attendance_expected_source_status,crowd_demand_source_status,override_valid_from,override_valid_to,override_evidence_status,override_source,override_notes,context_only,predictive_authority,betting_authority,projection_version
61,2026,91,Monaco,France,20470,Stade Louis-II,"7, avenue des Castelans",Monaco,18523,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
61,2026,84,Nice,France,663,Allianz Riviera,Boulevard des Jardiniers,Nice,35624,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
61,2026,114,Paris FC,France,12585,Stade Charléty,99 Boulevard Kellermann,Paris,20000,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
61,2026,85,Paris Saint Germain,France,671,Parc des Princes,"24, rue du Commandant Guilbaud",Paris,47929,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
61,2026,94,Rennes,France,680,Roazhon Park,"111, route de Lorient",Rennes,31127,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
61,2026,106,Stade Brestois 29,France,641,Stade Francis-Le Blé,"26, rue de Quimper",Brest,15931,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
61,2026,95,Strasbourg,France,681,Stade de la Meinau,"12, rue de l&apos;Extenwoerth",Strasbourg,26109,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
61,2026,96,Toulouse,France,682,Stadium de Toulouse,"1, allée Gabriel Biènés",Toulouse,33150,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,192,1. FC Köln,Germany,731,RheinEnergieSTADION,Aachener Str. 999,Köln,50076,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,167,1899 Hoffenheim,Germany,724,PreZero Arena,Dietmar-Hopp-Straße 1,Sinsheim,30164,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
