api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,bet_id,bet_name,open_b365_1x,open_b365_x2,open_b365_12,open_p_1x,open_p_x2,open_p_12,status,source
1552756,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,Auxerre,Nice,12,Double Chance,1.4,1.44,1.33,0.33059449,0.32141131,0.34799420,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552758,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,Le Havre,Angers,12,Double Chance,1.4,1.5,1.36,0.33752482,0.31502316,0.34745202,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552762,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,Paris FC,Lyon,12,Double Chance,1.5,1.5,1.28,0.31527094,0.31527094,0.36945813,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552760,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-13T13:00:00Z,Lille,Estac Troyes,12,Double Chance,1.1,2.75,1.18,0.42877907,0.17151163,0.39970930,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552759,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-13T15:15:00Z,Le Mans,Lens,12,Double Chance,2.2,1.18,1.22,0.21423894,0.39942854,0.38633252,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552757,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-13T18:45:00Z,Stade Brestois 29,Paris Saint Germain,12,Double Chance,3.75,1.05,1.14,0.12721186,0.45432807,0.41846007,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552769,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-18T18:45:00Z,Monaco,Lens,12,Double Chance,1.4,1.62,1.28,0.33807226,0.29216121,0.36976653,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1561926,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-11T17:30:00Z,Ried,Red Bull Salzburg,12,Double Chance,2.38,1.17,1.2,0.19930159,0.40541692,0.39528149,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1561924,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-12T15:00:00Z,SCR Altach,Grazer AK,12,Double Chance,1.33,1.62,1.3,0.35160946,0.28866702,0.35972352,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1561929,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-12T17:30:00Z,Wolfsberger AC,Rapid Vienna,12,Double Chance,2.1,1.18,1.25,0.22423229,0.39905746,0.37671025,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1561925,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-13T12:30:00Z,Austria Vienna,Austria Lustenau,12,Double Chance,1.25,1.91,1.28,0.38008177,0.24874462,0.37117361,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1561928,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-13T12:30:00Z,WSG Wattens,TSV Hartberg,12,Double Chance,1.36,1.67,1.28,0.34759984,0.28307532,0.36932483,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1561927,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-13T15:00:00Z,Sturm Graz,Lask Linz,12,Double Chance,1.7,1.36,1.28,0.27947598,0.34934498,0.37117904,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1561935,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-18T17:30:00Z,Rapid Vienna,WSG Wattens,12,Double Chance,1.11,2.75,1.18,0.42656396,0.17217672,0.40125932,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1561930,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-19T15:00:00Z,Austria Lustenau,SCR Altach,12,Double Chance,1.57,1.4,1.3,0.30037960,0.33685427,0.36276613,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
