forward_id,rule,api_fixture_id,captured_at_utc,fixture_status,current_kickoff_utc,minutes_to_kickoff,selection,best_odds,best_book,bet365_odds,user_best_odds,user_best_book,user_allowlist_configured,api_odds_update_utc
R1|I1|1550125,R1,1550125,2026-09-12T10:41:54Z,NS,2026-09-14T16:30:00Z,3228.1,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550131,R1,1550131,2026-09-12T10:41:54Z,NS,2026-09-20T13:00:00Z,11658.1,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T09:24:22+00:00
R1|I1|1550124,R1,1550124,2026-09-12T11:41:33Z,NS,2026-09-13T18:45:00Z,1863.5,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T09:24:22+00:00
R1|I1|1550125,R1,1550125,2026-09-12T11:41:33Z,NS,2026-09-14T16:30:00Z,3168.4,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550131,R1,1550131,2026-09-12T11:41:33Z,NS,2026-09-20T13:00:00Z,11598.5,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T09:24:22+00:00
R1|I1|1550124,R1,1550124,2026-09-12T12:46:32Z,NS,2026-09-13T18:45:00Z,1798.5,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T09:24:22+00:00
R1|I1|1550125,R1,1550125,2026-09-12T12:46:32Z,NS,2026-09-14T16:30:00Z,3103.5,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T09:24:22+00:00
R1|I1|1550131,R1,1550131,2026-09-12T12:46:32Z,NS,2026-09-20T13:00:00Z,11533.5,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T09:24:22+00:00
R1|I1|1550124,R1,1550124,2026-09-12T13:42:00Z,NS,2026-09-13T18:45:00Z,1743.0,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T09:24:22+00:00
R1|I1|1550125,R1,1550125,2026-09-12T13:42:00Z,NS,2026-09-14T16:30:00Z,3048.0,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T09:24:22+00:00
R1|I1|1550131,R1,1550131,2026-09-12T13:42:00Z,NS,2026-09-20T13:00:00Z,11478.0,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550124,R1,1550124,2026-09-12T14:43:05Z,NS,2026-09-13T18:45:00Z,1681.9,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550125,R1,1550125,2026-09-12T14:43:05Z,NS,2026-09-14T16:30:00Z,2986.9,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550131,R1,1550131,2026-09-12T14:43:05Z,NS,2026-09-20T13:00:00Z,11416.9,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T13:25:18+00:00
