settlement_key,market_family,api_fixture_id,league,league_id,kickoff_utc,settled_at_utc,home_team,away_team,market_key,line,team_side,final_home_goals,final_away_goals,selection_a,selection_b,selection_c,result_a,result_b,result_c,bet365_close_a,bet365_close_b,bet365_close_c,marathon_close_a,marathon_close_b,marathon_close_c,bet365_pnl_a,bet365_pnl_b,bet365_pnl_c,marathon_pnl_a,marathon_pnl_b,marathon_pnl_c,fixture_status,settlement_status,note
TEAM_TOTAL|TT|1515921|A|0.5,TEAM_TOTAL,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,TT|1515921|A|0.5,0.5,A,2,2,OVER,UNDER,,WIN,LOSS,,1.62,2.2,,1.54,2.23,,0.620000,-1.000000,,0.540000,-1.000000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1515921|A|1.5,TEAM_TOTAL,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,TT|1515921|A|1.5,1.5,A,2,2,OVER,UNDER,,WIN,LOSS,,4.0,1.22,,3.76,1.21,,3.000000,-1.000000,,2.760000,-1.000000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1515921|A|2.5,TEAM_TOTAL,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,TT|1515921|A|2.5,2.5,A,2,2,OVER,UNDER,,LOSS,WIN,,9.0,1.04,,7.2,1.04,,-1.000000,0.040000,,-1.000000,0.040000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1553168|H|0.5,TEAM_TOTAL,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,TT|1553168|H|0.5,0.5,H,2,1,OVER,UNDER,,WIN,LOSS,,1.14,5.5,,,,,0.140000,-1.000000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1553168|H|1.5,TEAM_TOTAL,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,TT|1553168|H|1.5,1.5,H,2,1,OVER,UNDER,,WIN,LOSS,,1.73,2.0,,1.65,2.16,,0.730000,-1.000000,,0.650000,-1.000000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1553168|H|2.5,TEAM_TOTAL,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,TT|1553168|H|2.5,2.5,H,2,1,OVER,UNDER,,LOSS,WIN,,3.25,1.33,,2.89,1.35,,-1.000000,0.330000,,-1.000000,0.350000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1553168|H|3.5,TEAM_TOTAL,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,TT|1553168|H|3.5,3.5,H,2,1,OVER,UNDER,,LOSS,WIN,,7.0,1.1,,,,,-1.000000,0.100000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1553168|H|4.5,TEAM_TOTAL,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,TT|1553168|H|4.5,4.5,H,2,1,OVER,UNDER,,LOSS,WIN,,19.0,1.02,,,,,-1.000000,0.020000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1553168|A|0.5,TEAM_TOTAL,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,TT|1553168|A|0.5,0.5,A,2,1,OVER,UNDER,,WIN,LOSS,,1.3,3.4,,1.26,3.42,,0.300000,-1.000000,,0.260000,-1.000000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1553168|A|1.5,TEAM_TOTAL,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,TT|1553168|A|1.5,1.5,A,2,1,OVER,UNDER,,LOSS,WIN,,2.5,1.5,,2.3,1.56,,-1.000000,0.500000,,-1.000000,0.560000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1553168|A|2.5,TEAM_TOTAL,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,TT|1553168|A|2.5,2.5,A,2,1,OVER,UNDER,,LOSS,WIN,,6.5,1.11,,4.9,1.13,,-1.000000,0.110000,,-1.000000,0.130000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1553168|A|3.5,TEAM_TOTAL,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,TT|1553168|A|3.5,3.5,A,2,1,OVER,UNDER,,LOSS,WIN,,19.0,1.02,,,,,-1.000000,0.020000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
DOUBLE_CHANCE|1515921,DOUBLE_CHANCE,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,,,,2,2,1X,X2,12,WIN,WIN,LOSS,1.08,2.75,1.12,1.03,2.92,1.1,0.080000,1.750000,-1.000000,0.030000,1.920000,-1.000000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
DOUBLE_CHANCE|1553168,DOUBLE_CHANCE,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,,,,2,1,1X,X2,12,WIN,LOSS,WIN,1.25,1.8,1.25,1.26,1.83,1.24,0.250000,-1.000000,0.250000,0.260000,-1.000000,0.240000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1515921|-3,EUROPEAN_HANDICAP,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,EH|1515921|-3,-3,,2,2,HOME,DRAW,AWAY,LOSS,LOSS,WIN,6.5,5.5,1.3,6.4,6.0,1.25,-1.000000,-1.000000,0.300000,-1.000000,-1.000000,0.250000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1515921|-2,EUROPEAN_HANDICAP,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,EH|1515921|-2,-2,,2,2,HOME,DRAW,AWAY,LOSS,LOSS,WIN,3.4,4.33,1.8,3.28,4.3,1.73,-1.000000,-1.000000,0.800000,-1.000000,-1.000000,0.730000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1515921|-1,EUROPEAN_HANDICAP,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,EH|1515921|-1,-1,,2,2,HOME,DRAW,AWAY,LOSS,LOSS,WIN,1.91,4.0,3.0,1.96,3.66,2.92,-1.000000,-1.000000,2.000000,-1.000000,-1.000000,1.920000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1515921|+1,EUROPEAN_HANDICAP,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,EH|1515921|+1,+1,,2,2,HOME,DRAW,AWAY,WIN,LOSS,LOSS,1.11,8.0,17.0,1.12,4.65,6.5,0.110000,-1.000000,-1.000000,0.120000,-1.000000,-1.000000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1515921|+2,EUROPEAN_HANDICAP,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,EH|1515921|+2,+2,,2,2,HOME,DRAW,AWAY,WIN,LOSS,LOSS,1.02,21.0,41.0,,,,0.020000,-1.000000,-1.000000,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1553168|-3,EUROPEAN_HANDICAP,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,EH|1553168|-3,-3,,2,1,HOME,DRAW,AWAY,LOSS,LOSS,WIN,13.0,9.5,1.09,6.3,5.05,1.1,-1.000000,-1.000000,0.090000,-1.000000,-1.000000,0.100000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
