event_id,fixture_id,provider_league_id,league_name,season,round,kickoff_utc,observed_at_utc,elapsed,extra,team_id,team_name,player_id,player_name,assist_id,assist_name,event_type,detail,comments,source,archive_version,research_only,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1ffb22976b0e735af2b52541f0a89641bc352bcf1ec334fc299e7d59d0efe16f,1553180,106,Ekstraklasa,2026,Regular Season - 9,2026-09-18T18:30:00+00:00,2026-09-18T20:51:05Z,49,,338,Wisla Krakow,21107,Thody Elie Youan,,,Card,Yellow Card,Foul,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
20487dfa1e1b59aa1a958617f35fc6d567579a724c015d6838c46540c1e11bd7,1570397,140,La Liga,2026,Regular Season - 7,2026-09-18T19:00:00+00:00,2026-09-18T22:50:46Z,78,,797,Elche,161963,Germán Valera,47182,Tete Morente,Goal,Normal Goal,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
249ea20f99e013cd4385a3effcae89c23f5a715b1bfda672e8de4bacdb78770c,1547634,362,A Lyga,2026,Regular Season - 32,2026-07-18T16:00:00+00:00,2026-09-18T12:54:52Z,72,,3872,Kauno Žalgiris,69899,G. Sirgedas,44850,V. Slivka,Goal,Normal Goal,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
2a159f4fd64cf18b7c92a9060c8937392ac7913a7555e202272c672d36096680,1552173,88,Eredivisie,2026,Regular Season - 7,2026-09-18T18:00:00+00:00,2026-09-18T20:51:05Z,68,,202,Groningen,402272,Tygo Land,473416,David van der Werff,Goal,Normal Goal,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
2b667a73124c9699fa596439f45db7d71379f254434e31c9205dd232a8eed763,1552769,61,Ligue 1,2026,Regular Season - 5,2026-09-18T18:45:00+00:00,2026-09-18T22:50:46Z,57,,116,Lens,20525,Matthieu Udol,1922,Florian Thauvin,Goal,Normal Goal,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
2c18375b7aadc0c70dbc0ac08edf2edac14043767e45a407b6399291b98f8d28,1570397,140,La Liga,2026,Regular Season - 7,2026-09-18T19:00:00+00:00,2026-09-18T22:50:46Z,67,,540,Espanyol,286639,Bryan Zaragoza,273732,Tyrhys Dolan,subst,Substitution 4,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
2d06768c8206b26f0bd2c744195f76d48b173d4611c36b8bc5f19351015bea59,1552769,61,Ligue 1,2026,Regular Season - 5,2026-09-18T18:45:00+00:00,2026-09-18T22:50:46Z,58,,116,Lens,669863,Mezian Soares Mesloub,2929,Thorgan Hazard,subst,Substitution 2,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
2d7d7bd0c9ca43b90437c5c960925289ffcb643b3a5d6a1ea371320c61e801b1,1550133,135,Serie A,2026,Regular Season - 5,2026-09-18T18:45:00+00:00,2026-09-18T22:50:46Z,51,,1579,Monza,340547,G. Varela,30708,S. Birindelli,Goal,Normal Goal,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
2e5b549a510128956557cdffba60173b95ed2ade26b6c0400df1cb8beeb9e75b,1575167,78,Bundesliga,2026,Regular Season - 4,2026-09-18T18:30:00+00:00,2026-09-18T20:51:05Z,45,,157,Bayern München,1149,Dayot Upamecano,2897,Kim Min-Jae,subst,Substitution 1,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
2e9bb8509f1e4df409da6e441752a0c3eb39f607e53fa433bf475ec8280f43ad,1575167,78,Bundesliga,2026,Regular Season - 4,2026-09-18T18:30:00+00:00,2026-09-18T20:51:05Z,45,2,157,Bayern München,1149,Dayot Upamecano,,,Card,Yellow Card,Dissent,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
