international_fixture_id,international_kickoff_utc,window_id,national_team_id,national_team_name,player_id,player_name,pbk16_team_id,pbk16_team_name,pbk16_provider_league_id,appearance_confirmed,minutes_confirmed,confirmed_minutes,window_direct_evidence_fixture_count_through_event,window_confirmed_appearances_through_event,window_minutes_confirmed_fixture_count_through_event,window_confirmed_minutes_through_event,next_domestic_fixture_id,next_domestic_kickoff_utc,next_domestic_home_team_id,next_domestic_home_team,next_domestic_away_team_id,next_domestic_away_team,club_side,opponent_team_id,opponent_team,hours_to_next_domestic_fixture,days_to_next_domestic_fixture,return_within_72h,return_within_96h,return_within_7d,return_fixture_status,return_fixture_played_only,formal_callup_inferred,travel_inferred,current_club_used,fuzzy_matching_used,provider_calls,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1486559,2025-11-18T16:30:00+00:00,2025_NOV,23,Saudi Arabia,44594,Saud Abdulhamid,116,Lens,61,false,false,,1,0,0,0,1387808,2025-11-22T16:00:00+00:00,116,Lens,95,Strasbourg,HOME,95,Strasbourg,95.500,3.9792,false,true,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366323,2025-11-17T19:45:00+00:00,2025_NOV,1118,Netherlands,203762,Emmanuel Emegha,95,Strasbourg,61,true,true,27,1,1,1,27,1387808,2025-11-22T16:00:00+00:00,116,Lens,95,Strasbourg,AWAY,116,Lens,116.250,4.8438,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323373,2025-11-18T19:45:00+00:00,2025_NOV,1,Belgium,340151,Mike Penders,95,Strasbourg,61,false,false,,1,0,0,0,1387808,2025-11-22T16:00:00+00:00,116,Lens,95,Strasbourg,AWAY,116,Lens,92.250,3.8438,false,true,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323373,2025-11-18T19:45:00+00:00,2025_NOV,1,Belgium,86,Loïs Openda,496,Juventus,135,true,true,30,1,1,1,30,1377976,2025-11-22T17:00:00+00:00,502,Fiorentina,496,Juventus,AWAY,502,Fiorentina,93.250,3.8854,false,true,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323367,2025-11-18T19:45:00+00:00,2025_NOV,15,Switzerland,1014,Simon Sohm,502,Fiorentina,135,true,true,14,1,1,1,14,1377976,2025-11-22T17:00:00+00:00,502,Fiorentina,496,Juventus,HOME,496,Juventus,93.250,3.8854,false,true,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323371,2025-11-18T19:45:00+00:00,2025_NOV,1113,Bosnia & Herzegovina,790,Edin Džeko,502,Fiorentina,135,true,true,90,1,1,1,90,1377976,2025-11-22T17:00:00+00:00,502,Fiorentina,496,Juventus,HOME,496,Juventus,93.250,3.8854,false,true,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366321,2025-11-16T19:45:00+00:00,2025_NOV,1090,Norway,278133,Oscar Bobb,50,Manchester City,39,true,true,14,1,1,1,14,1379087,2025-11-22T17:30:00+00:00,34,Newcastle,50,Manchester City,AWAY,34,Newcastle,141.750,5.9062,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323361,2025-11-16T17:00:00+00:00,2025_NOV,10,England,626,John Stones,50,Manchester City,39,true,true,90,1,1,1,90,1379087,2025-11-22T17:30:00+00:00,34,Newcastle,50,Manchester City,AWAY,34,Newcastle,144.500,6.0208,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366324,2025-11-17T19:45:00+00:00,2025_NOV,3,Croatia,1902,Duje Ćaleta-Car,548,Real Sociedad,140,true,true,45,1,1,1,45,1390945,2025-11-22T17:30:00+00:00,727,Osasuna,548,Real Sociedad,AWAY,727,Osasuna,117.750,4.9062,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323374,2025-11-18T19:45:00+00:00,2025_NOV,1105,FYR Macedonia,1358,Eljif Elmas,492,Napoli,135,true,true,90,1,1,1,90,1377979,2025-11-22T19:45:00+00:00,492,Napoli,499,Atalanta,HOME,499,Atalanta,96.000,4.0000,false,true,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
