market_key,api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,team_side,team_name,line,bet_id,bet_name,open_b365_over,open_b365_under,open_p_over,open_p_under,status,source
TT|1557401|A|2.5,1557401,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Crystal Palace,Ipswich,A,Ipswich,2.5,17,Total - Away,8.0,1.08,0.11894273,0.88105727,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557401|A|3.5,1557401,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Crystal Palace,Ipswich,A,Ipswich,3.5,17,Total - Away,23.0,1.01,0.04206581,0.95793419,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557397|H|0.5,1557397,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Aston Villa,Nottingham Forest,H,Aston Villa,0.5,16,Total - Home,1.25,3.75,0.75000000,0.25000000,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557397|H|1.5,1557397,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Aston Villa,Nottingham Forest,H,Aston Villa,1.5,16,Total - Home,2.2,1.62,0.42408377,0.57591623,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557397|H|2.5,1557397,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Aston Villa,Nottingham Forest,H,Aston Villa,2.5,16,Total - Home,5.0,1.17,0.18962723,0.81037277,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557397|H|3.5,1557397,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Aston Villa,Nottingham Forest,H,Aston Villa,3.5,16,Total - Home,13.0,1.04,0.07407407,0.92592593,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557397|H|4.5,1557397,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Aston Villa,Nottingham Forest,H,Aston Villa,4.5,16,Total - Home,29.0,1.01,0.03365545,0.96634455,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557397|A|0.5,1557397,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Aston Villa,Nottingham Forest,A,Nottingham Forest,0.5,17,Total - Away,1.36,3.0,0.68807339,0.31192661,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557397|A|1.5,1557397,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Aston Villa,Nottingham Forest,A,Nottingham Forest,1.5,17,Total - Away,2.75,1.4,0.33734940,0.66265060,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557397|A|2.5,1557397,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Aston Villa,Nottingham Forest,A,Nottingham Forest,2.5,17,Total - Away,7.0,1.1,0.13580247,0.86419753,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557397|A|3.5,1557397,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Aston Villa,Nottingham Forest,A,Nottingham Forest,3.5,17,Total - Away,21.0,1.01,0.04588823,0.95411177,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557406|H|0.5,1557406,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T16:30:00Z,Tottenham,Everton,H,Tottenham,0.5,16,Total - Home,1.2,4.33,0.78300181,0.21699819,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557406|H|1.5,1557406,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T16:30:00Z,Tottenham,Everton,H,Tottenham,1.5,16,Total - Home,1.91,1.8,0.48517520,0.51482480,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
