fixture_id,provider_league_id,league_name,season,round,kickoff_utc,home_team,away_team,home_goals,away_goals,venue_id,venue_name,venue_city,latitude,longitude,geocode_quality_status,geocode_resolver_version,captured_at_utc,source_class,source_name,source_url,evidence_time_status,usable_for_prematch,window_start_utc,window_end_utc,hourly_points,temperature_mean_c,temperature_min_c,temperature_max_c,apparent_temperature_mean_c,relative_humidity_mean_pct,dew_point_mean_c,surface_pressure_mean_hpa,precipitation_sum_mm,rain_sum_mm,showers_sum_mm,snowfall_sum_cm,weather_code_mode,visibility_min_m,wind_speed_mean_kmh,wind_speed_max_kmh,wind_gust_mean_kmh,wind_gust_max_kmh,wind_direction_mean_deg,research_only,predictive_authority,betting_authority,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1558637,144,Jupiler Pro League,2026,Regular Season - 7,2026-09-19T16:15:00+00:00,Charleroi,Cercle Brugge,3,2,177,Stade du Pays de Charleroi,Charleroi,50.411,4.444,VERIFIED_LOCALITY_V4,PBK_GEOCODE_V4,2026-09-24T19:07:07Z,HISTORICAL_FORECAST_ASSIMILATION_PROXY,Open-Meteo Historical Forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast,POSTMATCH_FACTUAL_RESEARCH_PROXY,false,2026-09-19T15:45:00Z,2026-09-19T18:45:00Z,3,21.567,21.1,22.3,20.6,56.667,12.567,1005.1,0,0,0,0,3,25660,12.2,12.2,24,25.6,232.637,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1570395,140,La Liga,2026,Regular Season - 7,2026-09-19T16:30:00+00:00,Celta Vigo,Racing Santander,5,0,22784,Estadio Abanca-Balaídos,Vigo,42.233,-8.723,VERIFIED_LOCALITY_V4,PBK_GEOCODE_V4,2026-09-24T19:07:07Z,HISTORICAL_FORECAST_ASSIMILATION_PROXY,Open-Meteo Historical Forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast,POSTMATCH_FACTUAL_RESEARCH_PROXY,false,2026-09-19T16:00:00Z,2026-09-19T19:00:00Z,4,23.8,21.7,25.3,24.075,49.25,12.45,1010.025,0,0,0,0,0,39660,3.525,5.2,12.15,16.6,253.867,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1575168,78,Bundesliga,2026,Regular Season - 4,2026-09-19T16:30:00+00:00,VfB Stuttgart,Borussia Dortmund,0,1,20473,MHPArena,Stuttgart,48.782,9.177,VERIFIED_LOCALITY_V4,PBK_GEOCODE_V4,2026-09-24T19:07:07Z,HISTORICAL_FORECAST_ASSIMILATION_PROXY,Open-Meteo Historical Forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast,POSTMATCH_FACTUAL_RESEARCH_PROXY,false,2026-09-19T16:00:00Z,2026-09-19T19:00:00Z,4,22.2,20.1,23.7,21.05,39.75,7.85,992.75,0,0,0,0,3,42680,4.225,7,13.95,18.7,309.176,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1556666,179,Premiership,2026,Regular Season - 7,2026-09-19T16:45:00+00:00,Kilmarnock,Heart Of Midlothian,1,1,19215,The BBSP Stadium Rugby Park,Kilmarnock,55.612,-4.496,VERIFIED_LOCALITY_V4,PBK_GEOCODE_V4,2026-09-24T19:07:07Z,HISTORICAL_FORECAST_ASSIMILATION_PROXY,Open-Meteo Historical Forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast,POSTMATCH_FACTUAL_RESEARCH_PROXY,false,2026-09-19T16:15:00Z,2026-09-19T19:15:00Z,3,13.533,13.1,14,9,68.333,7.8,1005.233,0,0,0,0,3,21560,26.967,28.4,52.2,55.4,256,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1575500,94,Primeira Liga,2026,Regular Season - 7,2026-09-19T17:00:00+00:00,Alverca,Rio Ave,1,0,3572,Complexo Desportivo FC Alverca,Alverca do Ribatejo,38.899,-9.039,VERIFIED_LOCALITY_V4,PBK_GEOCODE_V4,2026-09-24T19:07:07Z,HISTORICAL_FORECAST_ASSIMILATION_PROXY,Open-Meteo Historical Forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast,POSTMATCH_FACTUAL_RESEARCH_PROXY,false,2026-09-19T16:30:00Z,2026-09-19T19:30:00Z,3,28.1,26.7,29.8,25.267,29.667,8.7,1014.133,0,0,0,0,0,46920,17.167,20.1,42.1,44.6,319.002,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1561931,218,Bundesliga,2026,Regular Season - 7,2026-09-19T17:30:00+00:00,Grazer AK,Austria Vienna,2,2,150,Merkur Arena,Graz,47.067,15.442,VERIFIED_LOCALITY_V4,PBK_GEOCODE_V4,2026-09-24T19:07:07Z,HISTORICAL_FORECAST_ASSIMILATION_PROXY,Open-Meteo Historical Forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast,POSTMATCH_FACTUAL_RESEARCH_PROXY,false,2026-09-19T17:00:00Z,2026-09-19T20:00:00Z,4,19.25,16.4,21.5,19.15,61,11.35,982.35,0,0,0,0,0,34920,3.4,5.8,9.825,15.5,78.34,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1553177,106,Ekstraklasa,2026,Regular Season - 9,2026-09-19T18:15:00+00:00,Motor Lublin,Gornik Zabrze,0,0,22597,Motor Lublin Arena,Lublin,51.251,22.57,VERIFIED_LOCALITY_V4,PBK_GEOCODE_V4,2026-09-24T19:07:07Z,HISTORICAL_FORECAST_ASSIMILATION_PROXY,Open-Meteo Historical Forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast,POSTMATCH_FACTUAL_RESEARCH_PROXY,false,2026-09-19T17:45:00Z,2026-09-19T20:45:00Z,3,17.333,16.4,18.3,15.867,56,8.433,1001.567,0,0,0,0,0,50000,7.7,9,10.8,13.7,201.667,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1550136,135,Serie A,2026,Regular Season - 5,2026-09-19T18:45:00+00:00,Venezia,Lazio,0,2,948,Stadio Pierluigi Penzo,Venezia,45.437,12.333,VERIFIED_LOCALITY_V4,PBK_GEOCODE_V4,2026-09-25T03:49:50Z,HISTORICAL_FORECAST_ASSIMILATION_PROXY,Open-Meteo Historical Forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast,POSTMATCH_FACTUAL_RESEARCH_PROXY,false,2026-09-19T18:15:00Z,2026-09-19T21:15:00Z,3,22.3,21.6,23,25,79.667,18.567,1021.233,0,0,0,0,0,27020,3.2,4.8,5.867,8.3,333,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1552765,61,Ligue 1,2026,Regular Season - 5,2026-09-19T18:45:00+00:00,Angers,Estac Troyes,2,0,634,Stade Raymond-Kopa,Angers,47.472,-0.552,VERIFIED_LOCALITY_V4,PBK_GEOCODE_V4,2026-09-24T19:08:27Z,HISTORICAL_FORECAST_ASSIMILATION_PROXY,Open-Meteo Historical Forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast,POSTMATCH_FACTUAL_RESEARCH_PROXY,false,2026-09-19T18:15:00Z,2026-09-19T21:15:00Z,3,18.933,17.9,20,18.2,60.667,11.133,1020.633,0,0,0,0,1,39300,7.5,8.3,18.133,22.3,262.333,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1552767,61,Ligue 1,2026,Regular Season - 5,2026-09-19T18:45:00+00:00,Le Mans,Lorient,2,1,19206,Stade Marie-Marvingt,Le Mans,48.002,0.203,VERIFIED_LOCALITY_V4,PBK_GEOCODE_V4,2026-09-24T19:08:27Z,HISTORICAL_FORECAST_ASSIMILATION_PROXY,Open-Meteo Historical Forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast,POSTMATCH_FACTUAL_RESEARCH_PROXY,false,2026-09-19T18:15:00Z,2026-09-19T21:15:00Z,3,20.567,19.1,21.9,20.333,58,12,1016.9,0,0,0,0,1,39800,5.8,6.2,13.2,14.4,265.334,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
