competition_role,country,slot,provider_competition_id,competition_name,season,provider_season_available,status,attempt_count,last_attempt_at_utc,provider_fixture_rows,error
DOMESTIC_LEAGUE,Netherlands,LEAGUE,88,Eredivisie,2021,true,CAPTURED,1,2026-09-19T07:54:18Z,324,
DOMESTIC_LEAGUE,Netherlands,LEAGUE,88,Eredivisie,2022,true,CAPTURED,1,2026-09-19T07:54:21Z,324,
DOMESTIC_LEAGUE,Netherlands,LEAGUE,88,Eredivisie,2023,true,CAPTURED,1,2026-09-19T07:54:23Z,321,
DOMESTIC_LEAGUE,Netherlands,LEAGUE,88,Eredivisie,2024,true,CAPTURED,1,2026-09-19T07:54:25Z,321,
DOMESTIC_LEAGUE,Netherlands,LEAGUE,88,Eredivisie,2025,true,CAPTURED,1,2026-09-19T07:54:27Z,309,
DOMESTIC_LEAGUE,Norway,LEAGUE,103,Eliteserien,2017,true,CAPTURED,1,2026-09-19T07:54:30Z,240,
DOMESTIC_LEAGUE,Norway,LEAGUE,103,Eliteserien,2018,true,CAPTURED,1,2026-09-19T07:54:31Z,240,
DOMESTIC_LEAGUE,Norway,LEAGUE,103,Eliteserien,2019,true,CAPTURED,1,2026-09-19T07:54:33Z,240,
DOMESTIC_LEAGUE,Norway,LEAGUE,103,Eliteserien,2020,true,CAPTURED,1,2026-09-19T07:54:35Z,241,
DOMESTIC_LEAGUE,Norway,LEAGUE,103,Eliteserien,2021,true,CAPTURED,1,2026-09-19T07:54:37Z,479,
DOMESTIC_LEAGUE,Norway,LEAGUE,103,Eliteserien,2022,true,CAPTURED,1,2026-09-19T07:54:39Z,242,
DOMESTIC_LEAGUE,Norway,LEAGUE,103,Eliteserien,2023,true,CAPTURED,1,2026-09-19T07:54:40Z,242,
DOMESTIC_LEAGUE,Norway,LEAGUE,103,Eliteserien,2024,true,CAPTURED,1,2026-09-19T07:54:42Z,242,
DOMESTIC_LEAGUE,Norway,LEAGUE,103,Eliteserien,2025,true,CAPTURED,1,2026-09-19T07:54:44Z,242,
DOMESTIC_LEAGUE,Poland,LEAGUE,106,Ekstraklasa,2017,false,UNAVAILABLE_PROVIDER_SEASON,0,,,
DOMESTIC_LEAGUE,Poland,LEAGUE,106,Ekstraklasa,2018,true,CAPTURED,1,2026-09-19T07:54:45Z,296,
DOMESTIC_LEAGUE,Poland,LEAGUE,106,Ekstraklasa,2019,true,CAPTURED,1,2026-09-19T07:54:47Z,296,
DOMESTIC_LEAGUE,Poland,LEAGUE,106,Ekstraklasa,2020,true,CAPTURED,1,2026-09-19T07:54:49Z,240,
DOMESTIC_LEAGUE,Poland,LEAGUE,106,Ekstraklasa,2021,true,CAPTURED,1,2026-09-19T07:54:50Z,306,
DOMESTIC_LEAGUE,Poland,LEAGUE,106,Ekstraklasa,2022,true,CAPTURED,1,2026-09-19T07:54:53Z,306,
DOMESTIC_LEAGUE,Poland,LEAGUE,106,Ekstraklasa,2023,true,CAPTURED,1,2026-09-19T07:54:54Z,306,
DOMESTIC_LEAGUE,Poland,LEAGUE,106,Ekstraklasa,2024,true,CAPTURED,1,2026-09-19T07:54:56Z,306,
DOMESTIC_LEAGUE,Poland,LEAGUE,106,Ekstraklasa,2025,true,CAPTURED,1,2026-09-19T07:54:58Z,306,
DOMESTIC_LEAGUE,Portugal,LEAGUE,94,Primeira Liga,2017,true,CAPTURED,1,2026-09-19T07:55:00Z,306,
DOMESTIC_LEAGUE,Portugal,LEAGUE,94,Primeira Liga,2018,true,CAPTURED,1,2026-09-19T07:55:02Z,306,
DOMESTIC_LEAGUE,Portugal,LEAGUE,94,Primeira Liga,2019,true,CAPTURED,1,2026-09-19T07:55:04Z,306,
DOMESTIC_LEAGUE,Portugal,LEAGUE,94,Primeira Liga,2020,true,CAPTURED,1,2026-09-19T07:55:06Z,308,
DOMESTIC_LEAGUE,Portugal,LEAGUE,94,Primeira Liga,2021,true,CAPTURED,1,2026-09-19T07:55:08Z,308,
DOMESTIC_LEAGUE,Portugal,LEAGUE,94,Primeira Liga,2022,true,CAPTURED,1,2026-09-19T07:55:10Z,308,
DOMESTIC_LEAGUE,Portugal,LEAGUE,94,Primeira Liga,2023,true,CAPTURED,1,2026-09-19T07:55:11Z,308,
DOMESTIC_LEAGUE,Portugal,LEAGUE,94,Primeira Liga,2024,true,CAPTURED,1,2026-09-19T07:55:14Z,308,
DOMESTIC_LEAGUE,Portugal,LEAGUE,94,Primeira Liga,2025,true,CAPTURED,1,2026-09-19T07:55:15Z,308,
DOMESTIC_LEAGUE,Scotland,LEAGUE,179,Premiership,2017,true,CAPTURED,1,2026-09-19T07:55:17Z,228,
DOMESTIC_LEAGUE,Scotland,LEAGUE,179,Premiership,2018,true,CAPTURED,1,2026-09-19T07:55:19Z,228,
DOMESTIC_LEAGUE,Scotland,LEAGUE,179,Premiership,2019,true,CAPTURED,1,2026-09-19T07:55:21Z,198,
DOMESTIC_LEAGUE,Scotland,LEAGUE,179,Premiership,2020,true,CAPTURED,1,2026-09-19T07:55:23Z,234,
DOMESTIC_LEAGUE,Scotland,LEAGUE,179,Premiership,2021,true,CAPTURED,1,2026-09-19T07:55:25Z,234,
DOMESTIC_LEAGUE,Scotland,LEAGUE,179,Premiership,2022,true,CAPTURED,1,2026-09-19T07:55:26Z,234,
DOMESTIC_LEAGUE,Scotland,LEAGUE,179,Premiership,2023,true,CAPTURED,1,2026-09-19T07:55:28Z,234,
DOMESTIC_LEAGUE,Scotland,LEAGUE,179,Premiership,2024,true,CAPTURED,1,2026-09-19T07:55:30Z,234,
DOMESTIC_LEAGUE,Scotland,LEAGUE,179,Premiership,2025,true,CAPTURED,1,2026-09-19T07:55:32Z,234,
DOMESTIC_LEAGUE,Spain,LEAGUE,140,La Liga,2017,true,CAPTURED,1,2026-09-19T07:55:34Z,380,
DOMESTIC_LEAGUE,Spain,LEAGUE,140,La Liga,2018,true,CAPTURED,1,2026-09-19T07:55:35Z,380,
DOMESTIC_LEAGUE,Spain,LEAGUE,140,La Liga,2019,true,CAPTURED,1,2026-09-19T07:55:36Z,380,
DOMESTIC_LEAGUE,Spain,LEAGUE,140,La Liga,2020,true,CAPTURED,1,2026-09-19T07:55:37Z,380,
DOMESTIC_LEAGUE,Spain,LEAGUE,140,La Liga,2021,true,CAPTURED,1,2026-09-19T07:55:39Z,380,
DOMESTIC_LEAGUE,Spain,LEAGUE,140,La Liga,2022,true,CAPTURED,1,2026-09-19T07:55:40Z,380,
DOMESTIC_LEAGUE,Spain,LEAGUE,140,La Liga,2023,true,CAPTURED,1,2026-09-19T07:55:42Z,380,
DOMESTIC_LEAGUE,Spain,LEAGUE,140,La Liga,2024,true,CAPTURED,1,2026-09-19T07:55:43Z,380,
DOMESTIC_LEAGUE,Spain,LEAGUE,140,La Liga,2025,true,CAPTURED,1,2026-09-19T07:55:45Z,380,
DOMESTIC_LEAGUE,Turkey,LEAGUE,203,Süper Lig,2017,true,CAPTURED,1,2026-09-19T07:55:46Z,306,
DOMESTIC_LEAGUE,Turkey,LEAGUE,203,Süper Lig,2018,true,CAPTURED,1,2026-09-19T07:55:48Z,306,
DOMESTIC_LEAGUE,Turkey,LEAGUE,203,Süper Lig,2019,true,CAPTURED,1,2026-09-19T07:55:50Z,306,
DOMESTIC_LEAGUE,Turkey,LEAGUE,203,Süper Lig,2020,true,CAPTURED,1,2026-09-19T07:55:52Z,420,
DOMESTIC_LEAGUE,Turkey,LEAGUE,203,Süper Lig,2021,true,CAPTURED,1,2026-09-19T07:55:54Z,380,
DOMESTIC_LEAGUE,Turkey,LEAGUE,203,Süper Lig,2022,true,CAPTURED,1,2026-09-19T07:55:56Z,342,
DOMESTIC_LEAGUE,Turkey,LEAGUE,203,Süper Lig,2023,true,CAPTURED,1,2026-09-19T07:55:57Z,380,
DOMESTIC_LEAGUE,Turkey,LEAGUE,203,Süper Lig,2024,true,CAPTURED,1,2026-09-19T07:56:00Z,342,
DOMESTIC_LEAGUE,Turkey,LEAGUE,203,Süper Lig,2025,true,CAPTURED,1,2026-09-19T07:56:02Z,306,
DOMESTIC_CUP,Austria,NATIONAL_CUP,220,Cup,2017,true,CAPTURED,1,2026-09-19T07:56:04Z,63,
DOMESTIC_CUP,Austria,NATIONAL_CUP,220,Cup,2018,true,CAPTURED,1,2026-09-19T07:56:06Z,63,
DOMESTIC_CUP,Austria,NATIONAL_CUP,220,Cup,2019,true,CAPTURED,1,2026-09-19T07:56:08Z,63,
DOMESTIC_CUP,Austria,NATIONAL_CUP,220,Cup,2020,true,CAPTURED,1,2026-09-19T07:56:09Z,63,
DOMESTIC_CUP,Austria,NATIONAL_CUP,220,Cup,2021,true,CAPTURED,1,2026-09-19T07:56:11Z,63,
DOMESTIC_CUP,Austria,NATIONAL_CUP,220,Cup,2022,true,CAPTURED,1,2026-09-19T07:56:13Z,63,
DOMESTIC_CUP,Austria,NATIONAL_CUP,220,Cup,2023,true,CAPTURED,1,2026-09-19T07:56:15Z,63,
DOMESTIC_CUP,Austria,NATIONAL_CUP,220,Cup,2024,true,CAPTURED,1,2026-09-19T07:56:17Z,63,
DOMESTIC_CUP,Austria,NATIONAL_CUP,220,Cup,2025,true,CAPTURED,1,2026-09-19T07:56:19Z,63,
DOMESTIC_CUP,Belgium,NATIONAL_CUP,147,Cup,2017,false,UNAVAILABLE_PROVIDER_SEASON,0,,,
DOMESTIC_CUP,Belgium,NATIONAL_CUP,147,Cup,2018,false,UNAVAILABLE_PROVIDER_SEASON,0,,,
DOMESTIC_CUP,Belgium,NATIONAL_CUP,147,Cup,2019,true,CAPTURED,1,2026-09-19T07:56:21Z,312,
DOMESTIC_CUP,Belgium,NATIONAL_CUP,147,Cup,2020,true,CAPTURED,1,2026-09-19T07:56:24Z,311,
DOMESTIC_CUP,Belgium,NATIONAL_CUP,147,Cup,2021,true,CAPTURED,1,2026-09-19T07:56:25Z,313,
DOMESTIC_CUP,Belgium,NATIONAL_CUP,147,Cup,2022,true,CAPTURED,1,2026-09-19T07:56:28Z,315,
DOMESTIC_CUP,Belgium,NATIONAL_CUP,147,Cup,2023,true,CAPTURED,1,2026-09-19T07:56:30Z,359,
DOMESTIC_CUP,Belgium,NATIONAL_CUP,147,Cup,2024,true,CAPTURED,1,2026-09-19T07:56:31Z,297,
DOMESTIC_CUP,Belgium,NATIONAL_CUP,147,Cup,2025,true,CAPTURED,1,2026-09-19T07:56:33Z,219,
DOMESTIC_CUP,Denmark,NATIONAL_CUP,121,DBU Pokalen,2017,true,CAPTURED,1,2026-09-19T07:56:35Z,100,
DOMESTIC_CUP,Denmark,NATIONAL_CUP,121,DBU Pokalen,2018,true,CAPTURED,1,2026-09-19T07:56:37Z,101,
DOMESTIC_CUP,Denmark,NATIONAL_CUP,121,DBU Pokalen,2019,true,CAPTURED,1,2026-09-19T07:56:39Z,101,
DOMESTIC_CUP,Denmark,NATIONAL_CUP,121,DBU Pokalen,2020,true,CAPTURED,1,2026-09-19T07:56:41Z,109,
DOMESTIC_CUP,Denmark,NATIONAL_CUP,121,DBU Pokalen,2021,true,CAPTURED,1,2026-09-19T07:56:43Z,109,
DOMESTIC_CUP,Denmark,NATIONAL_CUP,121,DBU Pokalen,2022,true,CAPTURED,1,2026-09-19T07:56:45Z,109,
DOMESTIC_CUP,Denmark,NATIONAL_CUP,121,DBU Pokalen,2023,true,CAPTURED,1,2026-09-19T07:56:48Z,108,
DOMESTIC_CUP,Denmark,NATIONAL_CUP,121,DBU Pokalen,2024,true,CAPTURED,1,2026-09-19T07:56:49Z,109,
DOMESTIC_CUP,Denmark,NATIONAL_CUP,121,DBU Pokalen,2025,true,CAPTURED,1,2026-09-19T07:56:51Z,110,
DOMESTIC_CUP,England,NATIONAL_CUP,45,FA Cup,2017,true,CAPTURED,1,2026-09-19T07:56:53Z,149,
DOMESTIC_CUP,England,NATIONAL_CUP,45,FA Cup,2018,true,CAPTURED,1,2026-09-19T07:56:54Z,150,
DOMESTIC_CUP,England,NATIONAL_CUP,45,FA Cup,2019,true,CAPTURED,1,2026-09-19T07:56:56Z,886,
DOMESTIC_CUP,England,NATIONAL_CUP,45,FA Cup,2020,true,CAPTURED,1,2026-09-19T07:56:58Z,735,
DOMESTIC_CUP,England,NATIONAL_CUP,45,FA Cup,2021,true,CAPTURED,1,2026-09-19T07:57:00Z,868,
DOMESTIC_CUP,England,NATIONAL_CUP,45,FA Cup,2022,true,CAPTURED,1,2026-09-19T07:57:02Z,889,
