fixture_id,captured_at_utc,kickoff_utc,team_id,team_name,player_id,player_name,availability_type,reason,source_dataset,source_snapshot_type,archive_version
1550125,2026-09-13T11:14:53Z,2026-09-14T16:30:00Z,503,Torino,56266,F. Israel,Missing Fixture,Shoulder Injury,match_context_snapshots,T24,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T11:17:21Z,2026-09-14T16:30:00Z,497,AS Roma,626686,M. Bah,Missing Fixture,Knee Injury,match_context_snapshots,T3,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T11:17:21Z,2026-09-14T16:30:00Z,503,Torino,123,P. Pellegri,Missing Fixture,Knee Injury,match_context_snapshots,T3,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T11:17:21Z,2026-09-14T16:30:00Z,503,Torino,19524,C. Adams,Missing Fixture,Muscle Injury,match_context_snapshots,T3,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T11:17:21Z,2026-09-14T16:30:00Z,503,Torino,270507,C. Casadei,Questionable,Rest,match_context_snapshots,T3,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T11:17:21Z,2026-09-14T16:30:00Z,503,Torino,30414,G. Simeone,Questionable,Back Injury,match_context_snapshots,T3,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T11:17:21Z,2026-09-14T16:30:00Z,503,Torino,56266,F. Israel,Missing Fixture,Shoulder Injury,match_context_snapshots,T3,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T16:16:59Z,2026-09-14T16:30:00Z,497,AS Roma,626686,M. Bah,Missing Fixture,Knee Injury,match_context_snapshots,T60,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T16:16:59Z,2026-09-14T16:30:00Z,503,Torino,123,P. Pellegri,Missing Fixture,Knee Injury,match_context_snapshots,T60,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T16:16:59Z,2026-09-14T16:30:00Z,503,Torino,19524,C. Adams,Missing Fixture,Muscle Injury,match_context_snapshots,T60,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T16:16:59Z,2026-09-14T16:30:00Z,503,Torino,270507,C. Casadei,Missing Fixture,Rest,match_context_snapshots,T60,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T16:16:59Z,2026-09-14T16:30:00Z,503,Torino,30414,G. Simeone,Questionable,Back Injury,match_context_snapshots,T60,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-14T16:16:59Z,2026-09-14T16:30:00Z,503,Torino,56266,F. Israel,Missing Fixture,Shoulder Injury,match_context_snapshots,T60,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
