api_fixture_id,league,league_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,bet_id,bet_name,line,open_p_f1_0,open_p_f2_0,close_p_f1_0,close_p_f2_0,move_f1_0_pp,move_f2_0_pp,bet365_close_f1_0,bet365_close_f2_0,user_bookmaker,user_close_f1_0,user_close_f2_0,status,note
1584411,Super Lig,203,2026-09-12T18:40:06Z,2026-09-12T14:00:00Z,2026-09-12T12:42:44Z,77.3,Samsunspor,Çorum FK,4,Asian Handicap,0,0.58974359,0.41025641,0.58974359,0.41025641,-0.00000000,0.00000000,1.6,2.3,Marathonbet,1.55,2.36,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1584410,Super Lig,203,2026-09-12T18:40:06Z,2026-09-12T17:00:00Z,2026-09-12T12:42:44Z,257.3,Konyaspor,Trabzonspor,4,Asian Handicap,0,0.35108959,0.64891041,0.35108959,0.64891041,-0.00000000,0.00000000,2.68,1.45,Marathonbet,2.67,1.44,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1584403,Super Lig,203,2026-09-12T18:40:06Z,2026-09-12T17:00:00Z,2026-09-12T12:42:44Z,257.3,Alanyaspor,Göztepe,4,Asian Handicap,0,0.58974359,0.41025641,0.59796438,0.40203562,0.00822079,-0.00822079,1.58,2.35,Marathonbet,1.55,2.36,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1557405,Premier League,39,2026-09-13T00:44:15Z,2026-09-12T19:00:00Z,2026-09-12T18:40:06Z,19.9,Sunderland,Arsenal,4,Asian Handicap,0,0.16545718,0.83454282,0.22161172,0.77838828,0.05615454,-0.05615454,4.25,1.21,Marathonbet,4.6,1.17,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1550117,Serie A,135,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,Atalanta,Cagliari,4,Asian Handicap,0,0.77838828,0.22161172,0.74596774,0.25403226,-0.03242054,0.03242054,1.26,3.7,Marathonbet,1.23,3.65,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1552761,Ligue 1,61,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,Lorient,Toulouse,4,Asian Handicap,0,0.51948052,0.48051948,0.56135770,0.43864230,0.04187718,-0.04187718,1.68,2.15,Marathonbet,1.71,2.14,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1552756,Ligue 1,61,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,Auxerre,Nice,4,Asian Handicap,0,0.51295337,0.48704663,0.46753247,0.53246753,-0.04542090,0.04542090,2.05,1.8,Marathonbet,2.05,1.77,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1552758,Ligue 1,61,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,Le Havre,Angers,4,Asian Handicap,0,0.53246753,0.46753247,0.51948052,0.48051948,-0.01298701,0.01298701,1.85,2.0,Marathonbet,1.86,1.94,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1552762,Ligue 1,61,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,Paris FC,Lyon,4,Asian Handicap,0,0.50000000,0.50000000,0.51295337,0.48704663,0.01295337,-0.01295337,1.88,1.98,Marathonbet,1.89,1.91,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1558629,Belgian Pro League,144,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,OH Leuven,Cercle Brugge,4,Asian Handicap,0,0.50000000,0.50000000,0.52105263,0.47894737,0.02105263,-0.02105263,1.82,1.98,Marathonbet,1.82,1.93,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
