fixture_id,provider_league_id,league_name,season,round,kickoff_utc,home_team,away_team,source_status,first_queued_at_utc,last_seen_at_utc,backlog_status,captured_at_utc,queue_source,attempt_count,last_attempt_at_utc,last_attempt_result
1552171,88,Eredivisie,2026,Regular Season - 7,2026-09-19T16:45:00+00:00,Sparta Rotterdam,Heerenveen,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T00:54:51Z,current_round_terminal_fixture,1,2026-09-20T00:54:51Z,CAPTURED
1556666,179,Premiership,2026,Regular Season - 7,2026-09-19T16:45:00+00:00,Kilmarnock,Heart Of Midlothian,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T00:54:51Z,current_round_terminal_fixture,1,2026-09-20T00:54:51Z,CAPTURED
1575500,94,Primeira Liga,2026,Regular Season - 7,2026-09-19T17:00:00+00:00,Alverca,Rio Ave,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T00:54:51Z,current_round_terminal_fixture,1,2026-09-20T00:54:51Z,CAPTURED
1584413,203,Süper Lig,2026,Regular Season - 6,2026-09-19T17:00:00+00:00,Başakşehir,Gençlerbirliği S.K.,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T00:54:51Z,current_round_terminal_fixture,1,2026-09-20T00:54:51Z,CAPTURED
1584420,203,Süper Lig,2026,Regular Season - 6,2026-09-19T17:00:00+00:00,Trabzonspor,Galatasaray,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T00:54:51Z,current_round_terminal_fixture,1,2026-09-20T00:54:51Z,CAPTURED
1561931,218,Bundesliga,2026,Regular Season - 7,2026-09-19T17:30:00+00:00,Grazer AK,Austria Vienna,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T00:54:51Z,current_round_terminal_fixture,1,2026-09-20T00:54:51Z,CAPTURED
1552174,88,Eredivisie,2026,Regular Season - 7,2026-09-19T18:00:00+00:00,Ajax,Excelsior,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T02:52:03Z,current_round_terminal_fixture,1,2026-09-20T02:52:03Z,CAPTURED
1553177,106,Ekstraklasa,2026,Regular Season - 9,2026-09-19T18:15:00+00:00,Motor Lublin,Gornik Zabrze,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T02:52:03Z,current_round_terminal_fixture,1,2026-09-20T02:52:03Z,CAPTURED
1550136,135,Serie A,2026,Regular Season - 5,2026-09-19T18:45:00+00:00,Venezia,Lazio,FT,2026-09-19T22:50:11Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T02:52:03Z,current_round_terminal_fixture,1,2026-09-20T02:52:03Z,CAPTURED
1552765,61,Ligue 1,2026,Regular Season - 5,2026-09-19T18:45:00+00:00,Angers,Estac Troyes,FT,2026-09-19T22:50:11Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T02:52:03Z,current_round_terminal_fixture,1,2026-09-20T02:52:03Z,CAPTURED
1552767,61,Ligue 1,2026,Regular Season - 5,2026-09-19T18:45:00+00:00,Le Mans,Lorient,FT,2026-09-19T22:50:11Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T02:52:03Z,current_round_terminal_fixture,1,2026-09-20T02:52:03Z,CAPTURED
1552768,61,Ligue 1,2026,Regular Season - 5,2026-09-19T18:45:00+00:00,Lyon,Rennes,FT,2026-09-19T22:50:11Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T02:52:03Z,current_round_terminal_fixture,1,2026-09-20T02:52:03Z,CAPTURED
1552772,61,Ligue 1,2026,Regular Season - 5,2026-09-19T18:45:00+00:00,Toulouse,Le Havre,FT,2026-09-19T22:50:11Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T02:52:03Z,current_round_terminal_fixture,1,2026-09-20T02:52:03Z,CAPTURED
1558638,144,Jupiler Pro League,2026,Regular Season - 7,2026-09-19T18:45:00+00:00,Anderlecht,Zulte Waregem,FT,2026-09-19T22:50:11Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T02:52:03Z,current_round_terminal_fixture,1,2026-09-20T02:52:03Z,CAPTURED
1558639,144,Jupiler Pro League,2026,Regular Season - 7,2026-09-19T18:45:00+00:00,Lommel United,KV Mechelen,FT,2026-09-19T22:50:11Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T04:52:07Z,current_round_terminal_fixture,1,2026-09-20T04:52:07Z,CAPTURED
1552175,88,Eredivisie,2026,Regular Season - 7,2026-09-19T19:00:00+00:00,Willem II,Fortuna Sittard,FT,2026-09-19T22:50:11Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T04:52:07Z,current_round_terminal_fixture,1,2026-09-20T04:52:07Z,CAPTURED
1570400,140,La Liga,2026,Regular Season - 7,2026-09-19T19:00:00+00:00,Sevilla,Barcelona,FT,2026-09-19T22:50:11Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T04:52:07Z,current_round_terminal_fixture,1,2026-09-20T04:52:07Z,CAPTURED
1575507,94,Primeira Liga,2026,Regular Season - 7,2026-09-19T19:30:00+00:00,Sporting CP,Arouca,FT,2026-09-20T00:54:51Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T04:52:07Z,current_round_terminal_fixture,1,2026-09-20T04:52:07Z,CAPTURED
1552176,88,Eredivisie,2026,Regular Season - 7,2026-09-20T10:15:00+00:00,Feyenoord,Utrecht,FT,2026-09-20T12:53:35Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T12:53:35Z,current_round_terminal_fixture,1,2026-09-20T12:53:35Z,CAPTURED
1553178,106,Ekstraklasa,2026,Regular Season - 9,2026-09-20T10:15:00+00:00,Piast Gliwice,Pogon Szczecin,FT,2026-09-20T12:53:35Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T12:53:35Z,current_round_terminal_fixture,1,2026-09-20T12:53:35Z,CAPTURED
1550130,135,Serie A,2026,Regular Season - 5,2026-09-20T10:30:00+00:00,Fiorentina,Napoli,FT,2026-09-20T12:53:35Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T12:53:35Z,current_round_terminal_fixture,1,2026-09-20T12:53:35Z,CAPTURED
