factor,bucket,scope_type,scope_value,seasons_with_matches,total_matches,min_season_matches,max_season_matches,home_roi_observed_seasons,home_roi_positive_seasons,draw_roi_observed_seasons,draw_roi_positive_seasons,away_roi_observed_seasons,away_roi_positive_seasons,over25_roi_observed_seasons,over25_roi_positive_seasons,under25_roi_observed_seasons,under25_roi_positive_seasons,home_calibration_observed_seasons,home_calibration_positive_seasons,away_calibration_observed_seasons,away_calibration_positive_seasons,over25_calibration_observed_seasons,over25_calibration_positive_seasons,research_only,operational_betting_authority,creates_signal,promotes_factor
DOMESTIC_CUP_96H_SIDE,HOME_ONLY,LEAGUE,NOR,6,37,3,9,6,2,6,2,6,3,0,0,0,0,6,2,6,4,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,HOME_ONLY,LEAGUE,P1,9,76,2,13,7,0,7,3,7,2,7,3,7,4,7,2,7,5,7,3,true,false,false,false
DOMESTIC_CUP_96H_SIDE,HOME_ONLY,LEAGUE,POL,7,40,3,9,7,3,7,4,7,3,0,0,0,0,7,2,7,3,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,HOME_ONLY,LEAGUE,SC0,8,30,2,7,6,1,6,6,6,2,6,1,6,5,6,1,6,2,6,1,true,false,false,false
DOMESTIC_CUP_96H_SIDE,HOME_ONLY,LEAGUE,SP1,8,109,10,19,7,5,7,0,7,3,7,3,7,3,7,5,7,5,7,4,true,false,false,false
DOMESTIC_CUP_96H_SIDE,HOME_ONLY,LEAGUE,T1,9,141,10,20,7,4,7,4,7,0,7,2,7,4,7,4,7,1,7,3,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,ALL,ALL,9,34208,3549,3948,9,1,9,1,9,0,7,0,7,0,9,5,9,3,7,5,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,AUT,9,1592,161,182,9,2,9,3,9,2,0,0,0,0,9,3,9,7,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,B1,9,2387,205,289,7,2,7,1,7,2,7,1,7,2,7,3,7,5,7,3,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,D1,9,2554,278,291,7,3,7,4,7,2,7,1,7,0,7,3,7,3,7,6,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,DNK,9,1690,165,221,9,2,9,3,9,0,0,0,0,0,9,5,9,2,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,E0,9,3013,329,343,7,2,7,1,7,3,7,1,7,2,7,4,7,2,7,3,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,F1,9,2844,237,361,7,1,7,1,7,2,7,2,7,0,7,3,7,5,7,4,true,false,false,false
