api_fixture_id,captured_at_utc,kickoff_utc,minutes_to_kickoff,fixture_status,home_team,away_team,ou_bet_id,ou_bet_name,b365_over25,b365_under25,p_over25,p_under25,open_p_over25,over_move_pp,o1_current_qualified,user_bookmaker,user_over25,user_under25,api_odds_update_utc
1575163,2026-09-11T15:49:44Z,2026-09-12T13:30:00Z,1300.3,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T09:52:15+00:00
1575164,2026-09-11T15:49:44Z,2026-09-11T18:30:00Z,160.3,NS,Union Berlin,FC Schalke 04,5,override,1.62,2.3,0.58673469,0.41326531,0.56847545,0.01825924,NO,Marathonbet,1.6,2.22,2026-09-11T12:00:44+00:00
1575165,2026-09-11T15:49:44Z,2026-09-12T16:30:00Z,1480.3,NS,1. FC Köln,Werder Bremen,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T09:52:15+00:00
1575166,2026-09-11T15:49:44Z,2026-09-13T15:30:00Z,2860.3,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.7,2026-09-11T14:04:27+00:00
1575158,2026-09-11T16:24:06Z,2026-09-12T13:30:00Z,1265.9,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.08,2026-09-11T14:04:27+00:00
1575159,2026-09-11T16:24:06Z,2026-09-13T13:30:00Z,2705.9,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T14:04:27+00:00
1575160,2026-09-11T16:24:06Z,2026-09-12T13:30:00Z,1265.9,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.33,3.1,2026-09-11T14:04:27+00:00
1575161,2026-09-11T16:24:06Z,2026-09-12T13:30:00Z,1265.9,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T14:04:27+00:00
1575162,2026-09-11T16:24:06Z,2026-09-12T13:30:00Z,1265.9,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T09:52:15+00:00
1575163,2026-09-11T16:24:06Z,2026-09-12T13:30:00Z,1265.9,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T09:52:15+00:00
