venue_id,venue_name,venue_city,team_country,latitude,longitude,elevation_m,geocoded_name,geocoded_country,geocoded_country_code,geocoded_admin1,geocoded_population,geocoded_feature_code,geocode_quality_status,geocode_name_match_quality,geocode_query_used,resolver_version,captured_at_utc,source
2901,Van Donge & De Roo Stadion,Rotterdam,Netherlands,51.922,4.479,9,Rotterdam,The Netherlands,NL,South Holland,868135,PPL,VERIFIED_LOCALITY_V4,3,Rotterdam,PBK_GEOCODE_V4,2026-09-25T14:29:56Z,Open-Meteo Geocoding API city proxy v4
3572,Complexo Desportivo FC Alverca,Alverca do Ribatejo,Portugal,38.899,-9.039,18,Alverca do Ribatejo,Portugal,PT,Lisbon District,,PPL,VERIFIED_LOCALITY_V4,3,Alverca do Ribatejo,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
441,Ceres Park & Arena,Århus,Denmark,,,,,,,,,,UNRESOLVED_V4,0,Århus,PBK_GEOCODE_V4,2026-09-25T15:34:58Z,Open-Meteo Geocoding API city proxy v4
443,Brøndby Stadion,Brøndby,Denmark,55.645,12.41,11,Brøndby,Denmark,DK,Capital Region,20000,PPLA2,VERIFIED_LOCALITY_V4,3,Brøndby,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
452,Lyngby Stadion,Lyngby,Denmark,55.77,12.504,25,Kongens Lyngby,Denmark,DK,Capital Region,10600,PPLA2,VERIFIED_LOCALITY_V4,3,Kongens Lyngby,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
453,MCH Arena,Herning,Denmark,56.136,8.977,60,Herning,Denmark,DK,Central Jutland,50565,PPLA2,VERIFIED_LOCALITY_V4,3,Herning,PBK_GEOCODE_V4,2026-09-25T14:14:08Z,Open-Meteo Geocoding API city proxy v4
456,Nature Energy Park,Odense,Denmark,55.396,10.388,17,Odense,Denmark,DK,South Denmark,180863,PPLA2,VERIFIED_LOCALITY_V4,3,Odense,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
460,Sydbank Park,Haderslev,Denmark,55.249,9.488,13,Haderslev,Denmark,DK,South Denmark,22011,PPLA2,VERIFIED_LOCALITY_V4,3,Haderslev,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
463,Energi Viborg Arena,Viborg,Denmark,56.453,9.402,50,Viborg,Denmark,DK,Central Jutland,41239,PPLA,VERIFIED_LOCALITY_V4,3,Viborg,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
494,Emirates Stadium,London,England,51.509,-0.126,25,London,United Kingdom,GB,England,8961989,PPLC,VERIFIED_LOCALITY_V4,3,London,PBK_GEOCODE_V4,2026-09-25T14:31:55Z,Open-Meteo Geocoding API city proxy v4
