fixture_id,kickoff_utc,team_id,team_name,player_id,player_name,injury_type,injury_reason,retrieved_at_utc,evidence_state,temporal_authority,prematch_known,impact_score,impact_authority,research_only
1382434,2025-08-01T18:45:00+00:00,569,Club Brugge KV,301322,Kyriani Sabbe,,Minor Knock,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382435,2025-08-02T14:00:00+00:00,261,KVC Westerlo,300941,Bi Irie Fernand Goure,,Knee Problems,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390028,2025-08-02T15:00:00+00:00,1025,Wolfsberger AC,371027,Chibuike Nwaiwu,,Torn Collateral Ligament,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390028,2025-08-02T15:00:00+00:00,618,SCR Altach,475565,Salif Tietietta,,Ruptured cruciate ligament,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1399967,2025-08-02T15:00:00+00:00,1072,TSV Hartberg,169509,Paul Komposch,,Ruptured cruciate ligament,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1399967,2025-08-02T15:00:00+00:00,1072,TSV Hartberg,278992,Maximilian Fillafer,,Unknown Injury,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1399967,2025-08-02T15:00:00+00:00,1398,WSG Wattens,169323,Lukas Sulzbacher,,Ruptured cruciate ligament,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1399967,2025-08-02T15:00:00+00:00,1398,WSG Wattens,528003,David Falkner,,Meniscus injur,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1399967,2025-08-02T15:00:00+00:00,1398,WSG Wattens,7134,Alexander Eckmayr,,Meniscus injur,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382436,2025-08-02T16:15:00+00:00,6215,Dender,315025,M. Berte,,Muscle bruise,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382436,2025-08-02T16:15:00+00:00,6215,Dender,37839,Ragnar Oratmangoen,,Infection,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382436,2025-08-02T16:15:00+00:00,733,Standard Liege,15862,Casper Nielsen,,Calf Injury,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
