api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,minutes_to_kickoff,home_team,away_team,bet_id,bet_name,b365_1x,b365_x2,b365_12,p_1x,p_x2,p_12,open_p_1x,open_p_x2,open_p_12,move_1x_pp,move_x2_pp,move_12_pp,user_bookmaker,user_1x,user_x2,user_12,api_odds_update_utc
1575163,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T13:30:00Z,1429.9,FSV Mainz 05,Eintracht Frankfurt,12,Double Chance,1.3,1.8,1.22,0.35870631,0.25906566,0.38222803,0.35870631,0.25906566,0.38222803,-0.00000000,0.00000000,0.00000000,Marathonbet,1.32,1.9,1.27,2026-09-11T09:52:15+00:00
1575158,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T13:30:00Z,1429.9,Borussia Dortmund,SC Paderborn 07,12,Double Chance,1.06,3.75,1.11,0.44690308,0.12632460,0.42677231,0.44690308,0.12632460,0.42677231,0.00000000,0.00000000,0.00000000,Marathonbet,1.06,4.25,1.12,2026-09-11T09:52:15+00:00
1575160,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T13:30:00Z,1429.9,1899 Hoffenheim,VfB Stuttgart,12,Double Chance,1.44,1.57,1.22,0.32283836,0.29610652,0.38105512,0.32283836,0.29610652,0.38105512,0.00000000,0.00000000,-0.00000000,Marathonbet,1.5,1.63,1.27,2026-09-11T09:52:15+00:00
1575162,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T13:30:00Z,1429.9,FC Augsburg,Bayer Leverkusen,12,Double Chance,1.95,1.22,1.22,0.23828125,0.38085938,0.38085938,0.23828125,0.38085938,0.38085938,0.00000000,-0.00000001,-0.00000001,Marathonbet,2.08,1.26,1.26,2026-09-11T09:52:15+00:00
1575165,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T16:30:00Z,1609.9,1. FC Köln,Werder Bremen,12,Double Chance,1.33,1.73,1.25,0.35300935,0.27138869,0.37560195,0.35300935,0.27138869,0.37560195,0.00000000,0.00000000,0.00000000,Marathonbet,1.35,1.78,1.3,2026-09-11T09:52:15+00:00
1575159,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-13T13:30:00Z,2869.9,RB Leipzig,Hamburger SV,12,Double Chance,1.08,3.0,1.17,0.43800539,0.15768194,0.40431267,0.43800539,0.15768194,0.40431267,0.00000000,0.00000000,-0.00000000,Marathonbet,1.09,3.28,1.17,2026-09-11T12:30:44+00:00
1575166,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-13T15:30:00Z,2989.9,SV Elversberg,Bayern München,12,Double Chance,5.0,1.04,1.07,0.09541448,0.45872346,0.44586206,0.09541448,0.45872346,0.44586206,0.00000000,0.00000000,-0.00000000,Marathonbet,5.4,1.03,1.09,2026-09-11T12:30:44+00:00
1552763,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-11T18:45:00Z,304.9,Rennes,Marseille,12,Double Chance,1.36,1.7,1.25,0.34626039,0.27700831,0.37673130,0.34626039,0.27700831,0.37673130,-0.00000000,0.00000000,0.00000000,Marathonbet,1.33,1.86,1.28,2026-09-11T12:00:44+00:00
1552764,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-12T15:15:00Z,1534.9,Strasbourg,Monaco,12,Double Chance,1.67,1.36,1.25,0.28058825,0.34454586,0.37486590,0.28058825,0.34454586,0.37486590,-0.00000000,-0.00000000,-0.00000000,Marathonbet,1.73,1.39,1.3,2026-09-11T08:15:48+00:00
1552761,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,1744.9,Lorient,Toulouse,12,Double Chance,1.4,1.44,1.33,0.33059449,0.32141131,0.34799420,0.33059449,0.32141131,0.34799420,0.00000000,-0.00000000,0.00000000,Marathonbet,1.46,1.53,1.36,2026-09-11T13:18:17+00:00
1552756,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,1744.9,Auxerre,Nice,12,Double Chance,1.4,1.44,1.33,0.33059449,0.32141131,0.34799420,0.33059449,0.32141131,0.34799420,0.00000000,-0.00000000,0.00000000,Marathonbet,1.49,1.52,1.35,2026-09-11T13:18:17+00:00
1552758,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,1744.9,Le Havre,Angers,12,Double Chance,1.4,1.5,1.36,0.33752482,0.31502316,0.34745202,0.33752482,0.31502316,0.34745202,-0.00000000,0.00000000,-0.00000000,Marathonbet,1.44,1.54,1.38,2026-09-11T13:18:18+00:00
