provider_league_id,competition_name,candidate_family,season,season_start,season_end,evidence_tier,fixture_backfill_priority,direct_matchday_squad_evidence_possible,direct_minutes_evidence_possible,player_evidence_backfill_eligible,status,attempt_count,last_attempt_at_utc,fixture_rows,finished_fixture_rows,error
32,World Cup - Qualification Europe,WORLD_CUP_QUALIFICATION,2020,2021-03-24,2022-06-05,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:31:37Z,259,258,
6,Africa Cup of Nations,AFRICA_CUP_OF_NATIONS,2019,2017-03-22,2019-07-19,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:31:38Z,202,198,
9,Copa America,COPA_AMERICA,2019,2019-06-15,2019-07-07,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:31:39Z,26,26,
1,World Cup,WORLD_CUP,2018,2018-06-14,2018-07-15,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:31:41Z,64,64,
5,UEFA Nations League,NATIONS_LEAGUE,2018,2018-09-06,2019-06-09,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:32:24Z,142,142,
30,World Cup - Qualification Asia,WORLD_CUP_QUALIFICATION,2018,2015-03-12,2017-10-10,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:32:26Z,226,226,
31,World Cup - Qualification CONCACAF,WORLD_CUP_QUALIFICATION,2018,2015-03-23,2017-10-11,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:32:29Z,112,112,
32,World Cup - Qualification Europe,WORLD_CUP_QUALIFICATION,2018,2016-09-04,2017-11-11,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:32:30Z,278,278,
34,World Cup - Qualification South America,WORLD_CUP_QUALIFICATION,2018,2015-10-08,2017-10-10,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:32:32Z,90,90,
37,World Cup - Qualification Intercontinental Play-offs,WORLD_CUP_QUALIFICATION,2018,2017-11-10,2017-11-16,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:32:34Z,4,4,
33,World Cup - Qualification Oceania,WORLD_CUP_QUALIFICATION,2026,2024-09-05,2025-03-24,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:35Z,18,18,
36,Africa Cup of Nations - Qualification,AFRICA_CUP_OF_NATIONS,2025,2024-03-20,2024-11-19,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:38Z,152,151,
849,Baltic Cup,BALTIC_CUP,2025,2026-06-06,2026-06-09,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:39Z,4,4,
858,CONCACAF Gold Cup - Qualification,GOLD_CUP,2025,2025-03-21,2025-03-26,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:41Z,14,14,
860,Arab Cup,ARAB_CUP,2025,2025-11-25,2025-12-18,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:43Z,39,38,
35,Asian Cup - Qualification,ASIAN_CUP,2024,2024-09-05,2026-03-31,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:45Z,78,78,
806,OFC Nations Cup,OFC_NATIONS_CUP,2024,2024-03-20,2024-06-30,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:46Z,19,16,
849,Baltic Cup,BALTIC_CUP,2024,2024-06-08,2024-06-11,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:49Z,4,4,
36,Africa Cup of Nations - Qualification,AFRICA_CUP_OF_NATIONS,2023,2022-03-21,2023-03-28,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:50Z,156,142,
858,CONCACAF Gold Cup - Qualification,GOLD_CUP,2023,2023-06-16,2023-06-21,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:52Z,9,9,
33,World Cup - Qualification Oceania,WORLD_CUP_QUALIFICATION,2022,2022-03-13,2022-03-30,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:53Z,16,11,
35,Asian Cup - Qualification,ASIAN_CUP,2022,2021-10-07,2022-06-14,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:56Z,40,40,
849,Baltic Cup,BALTIC_CUP,2022,2022-11-16,2022-11-19,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:32:58Z,4,4,
10,Friendlies,FRIENDLIES,2021,2021-01-09,2021-12-30,DIRECT_MATCHDAY_SQUAD,2,true,false,true,CAPTURED,1,2026-09-19T14:33:00Z,235,210,
36,Africa Cup of Nations - Qualification,AFRICA_CUP_OF_NATIONS,2021,2019-10-09,2021-03-30,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
858,CONCACAF Gold Cup - Qualification,GOLD_CUP,2021,2021-07-02,2021-07-07,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
860,Arab Cup,ARAB_CUP,2021,2021-06-19,2021-12-18,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
10,Friendlies,FRIENDLIES,2020,2020-01-08,2020-12-10,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
536,CONCACAF Nations League,NATIONS_LEAGUE,2020,2019-09-05,2021-06-07,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
849,Baltic Cup,BALTIC_CUP,2020,2021-06-01,2021-06-10,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
7,Asian Cup,ASIAN_CUP,2019,2019-01-05,2019-02-01,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
10,Friendlies,FRIENDLIES,2019,2019-01-28,2019-11-21,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
22,CONCACAF Gold Cup,GOLD_CUP,2019,2019-06-15,2019-07-08,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
35,Asian Cup - Qualification,ASIAN_CUP,2019,2017-03-26,2018-03-27,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
10,Friendlies,FRIENDLIES,2018,2018-01-27,2018-12-31,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
29,World Cup - Qualification Africa,WORLD_CUP_QUALIFICATION,2018,2015-10-07,2017-11-14,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
33,World Cup - Qualification Oceania,WORLD_CUP_QUALIFICATION,2018,2015-08-31,2017-09-05,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
808,CONCACAF Nations League - Qualification,NATIONS_LEAGUE,2018,2018-09-06,2019-03-25,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
6,Africa Cup of Nations,AFRICA_CUP_OF_NATIONS,2017,2017-01-14,2017-02-05,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
10,Friendlies,FRIENDLIES,2017,2017-01-04,2017-12-25,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
21,Confederations Cup,CONFEDERATIONS_CUP,2017,2017-06-17,2017-07-02,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
22,CONCACAF Gold Cup,GOLD_CUP,2017,2017-07-07,2017-07-27,DIRECT_MATCHDAY_SQUAD,2,true,false,true,PENDING,0,,,,
5,UEFA Nations League,NATIONS_LEAGUE,2026,2026-09-24,2026-11-17,FIXTURE_ONLY,9,false,false,false,PENDING,0,,,,
536,CONCACAF Nations League,NATIONS_LEAGUE,2025,2026-09-23,2026-11-11,FIXTURE_ONLY,9,false,false,false,PENDING,0,,,,
