watch_id,source_stage,watch_family,api_fixture_id,league,kickoff_utc,home_team,away_team,selection_code,selection_display,crossed_at_utc,minutes_to_kickoff,movement_pp,stake_u,user_bookmaker,user_cross_odds,bet365_cross_odds,execution_status,close_observed,close_observed_at_utc,close_qualified,close_status,close_movement_pp,user_close_odds,bet365_close_odds,fixture_status,final_home_goals,final_away_goals,settlement_status,result,user_profit_u,bet365_profit_u,settled_at_utc,notes
ST62-O1-1575166,Stage62,Бундеслига ТБ(2.5) steam,1575166,Bundesliga,2026-09-13T15:30:00Z,SV Elversberg,Bayern München,O25,ТБ(2.5),2026-09-13T12:26:19Z,183.7,0.03232386,1.000,Marathonbet,1.09,1.12,EXECUTABLE_PRICE_CAPTURED,YES,2026-09-13T15:21:47Z,YES,QUALIFIED_AT_CLOSE,0.03232386,1.1,1.12,FT,1,2,SETTLED,W,0.090,0.120,2026-09-13T17:28:23Z,Prospective WATCH only; crossing fields frozen on first ingestion
BTTS_NO|1570384,Stage63,Big-5 ОЗ market movement,1570384,La Liga,2026-09-16T17:00:00Z,Atletico Madrid,Osasuna,BTTS_NO,ОЗ — Нет,2026-09-14T10:16:12Z,3283.8,-0.04000000,1.000,Marathonbet,1.81,1.8,EXECUTABLE_PRICE_CAPTURED,YES,2026-09-16T16:16:35Z,YES,QUALIFIED_AT_CLOSE,-0.05333333,1.66,1.75,FT,4,0,SETTLED,W,0.810,0.800,2026-09-16T18:58:27Z,Prospective WATCH only; crossing fields frozen on first ingestion
M1PL|1557408,Stage61,АПЛ favorite steam,1557408,Premier League,2026-09-18T19:00:00Z,Brentford,Chelsea,A,П2,2026-09-15T19:27:33Z,4292.4,0.05028464,1.000,Marathonbet,2.27,2.2,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
BTTS_YES|1557408,Stage63,Big-5 ОЗ market movement,1557408,Premier League,2026-09-18T19:00:00Z,Brentford,Chelsea,BTTS_YES,ОЗ — Да,2026-09-15T20:16:28Z,4243.5,0.03662455,1.000,Marathonbet,1.41,1.44,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
M1PL|1557416,Stage61,АПЛ favorite steam,1557416,Premier League,2026-09-19T11:30:00Z,Tottenham,Aston Villa,H,П1,2026-09-16T11:54:49Z,4295.2,0.06188079,1.000,Marathonbet,2.02,1.95,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
ST62-O1-1575170,Stage62,Бундеслига ТБ(2.5) steam,1575170,Bundesliga,2026-09-19T13:30:00Z,Eintracht Frankfurt,SC Freiburg,O25,ТБ(2.5),2026-09-16T13:52:13Z,4297.8,0.03597719,1.000,Marathonbet,1.42,1.44,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
ST62-O1-1575172,Stage62,Бундеслига ТБ(2.5) steam,1575172,Bundesliga,2026-09-19T13:30:00Z,Werder Bremen,FC Augsburg,O25,ТБ(2.5),2026-09-16T13:52:13Z,4297.8,0.03597719,1.000,Marathonbet,1.41,1.44,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
BTTS_NO|1570393,Stage63,Big-5 ОЗ market movement,1570393,La Liga,2026-09-19T14:15:00Z,Athletic Club,Alaves,BTTS_NO,ОЗ — Нет,2026-09-16T14:17:14Z,4317.8,-0.04000000,1.000,Marathonbet,1.78,1.8,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
BTTS_NO|1575167,Stage63,Big-5 ОЗ market movement,1575167,Bundesliga,2026-09-18T18:30:00Z,Bayern München,Union Berlin,BTTS_NO,ОЗ — Нет,2026-09-16T14:17:14Z,3132.8,-0.03333333,1.000,Marathonbet,1.89,1.91,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
BTTS_YES|1550135,Stage63,Big-5 ОЗ market movement,1550135,Serie A,2026-09-19T13:00:00Z,Udinese,Cagliari,BTTS_YES,ОЗ — Да,2026-09-16T14:17:14Z,4242.8,0.03333333,1.000,Marathonbet,1.85,1.91,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
BTTS_YES|1557410,Stage63,Big-5 ОЗ market movement,1557410,Premier League,2026-09-19T14:00:00Z,Everton,Ipswich,BTTS_YES,ОЗ — Да,2026-09-16T14:17:14Z,4302.8,0.03702918,1.000,Marathonbet,1.67,1.67,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
M1PL|1557409,Stage61,АПЛ favorite steam,1557409,Premier League,2026-09-19T14:00:00Z,Brighton,Arsenal,A,П2,2026-09-16T14:29:51Z,4290.1,0.03186014,1.000,Marathonbet,1.75,1.7,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
BTTS_YES|1550128,Stage63,Big-5 ОЗ market movement,1550128,Serie A,2026-09-19T16:00:00Z,AS Roma,Inter,BTTS_YES,ОЗ — Да,2026-09-16T16:16:35Z,4303.4,0.03277942,1.000,Marathonbet,1.49,1.53,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
M1PL|1557415,Stage61,АПЛ favorite steam,1557415,Premier League,2026-09-19T16:30:00Z,Nottingham Forest,Coventry,H,П1,2026-09-16T17:27:24Z,4262.6,0.04647972,1.000,Marathonbet,1.66,1.62,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
BTTS_YES|1570385,Stage63,Big-5 ОЗ market movement,1570385,La Liga,2026-09-16T19:30:00Z,Barcelona,Racing Santander,BTTS_YES,ОЗ — Да,2026-09-16T18:18:28Z,71.5,0.05591623,1.000,Marathonbet,1.64,1.62,EXECUTABLE_PRICE_CAPTURED,YES,2026-09-16T18:18:28Z,YES,QUALIFIED_AT_CLOSE,0.05591623,1.64,1.62,FT,7,2,SETTLED,W,0.640,0.620,2026-09-17T05:05:39Z,Prospective WATCH only; crossing fields frozen on first ingestion
BTTS_NO|1570400,Stage63,Big-5 ОЗ market movement,1570400,La Liga,2026-09-19T19:00:00Z,Sevilla,Barcelona,BTTS_NO,ОЗ — Нет,2026-09-17T02:16:08Z,3883.9,-0.03333333,1.000,Marathonbet,2.0,1.91,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
ST62-O1-1575167,Stage62,Бундеслига ТБ(2.5) steam,1575167,Bundesliga,2026-09-18T18:30:00Z,Bayern München,Union Berlin,O25,ТБ(2.5),2026-09-17T09:24:14Z,1985.8,0.03232386,1.000,Marathonbet,1.07,1.12,EXECUTABLE_PRICE_CAPTURED,NO,,,WAITING_CLOSE,,,,NS,,,PENDING,,,,,Prospective WATCH only; crossing fields frozen on first ingestion
