statsbomb_player_id,statsbomb_player_name,statsbomb_match_rows,statsbomb_match_count,pbk_player_id,pbk_player_name,transfermarkt_player_ids,transfermarkt_player_names,match_status,match_method,match_confidence,authoritative_for_player_xg_xa,review_candidate_count,review_candidate_pbk_ids,review_candidate_pbk_names,source,research_only,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
5456,Mateo Kovačić,32,32,2291,M. Kovačić,,,REVIEW,INITIAL_SURNAME_PBK_CANDIDATE,MEDIUM,false,1,2291,M. Kovačić,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5457,Ivan Strinić,6,6,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5458,Odion Jude Ighalo,39,39,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5459,Marko Pjaca,2,2,30413,Marko Pjaca,,,REVIEW,INITIAL_SURNAME_PBK_CANDIDATE,MEDIUM,false,1,30413,Marko Pjaca,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5460,Andrej Kramarić,36,36,726,A. Kramarić,,,REVIEW,INITIAL_SURNAME_PBK_CANDIDATE,MEDIUM,false,1,726,A. Kramarić,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5461,Šime Vrsaljko,38,38,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5462,Brian Oladapo Idowu,2,2,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5463,Luka Modrić,66,66,754,L. Modrić,27992,Luka Modrić,AUTO_MATCH,EXACT_FULL_NAME_VIA_VERIFIED_TRANSFER,HIGH,true,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5465,Ante Rebić,21,21,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5466,Oghenekaro Etebo,4,4,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5467,Leon Aderemi Balogun,14,14,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5468,Domagoj Vida,2,2,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5469,Marcelo Brozović,43,43,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5470,Ivan Rakitić,165,165,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5472,Mario Mandžukić,34,34,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5473,Ahmed Musa,3,3,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5474,Ivan Perišić,53,53,207,Ivan Perišić,,,REVIEW,INITIAL_SURNAME_PBK_CANDIDATE,MEDIUM,false,1,207,Ivan Perišić,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5475,John Michael Nchekwube Obinna,11,11,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5476,Benjamin Pavard,13,13,2725,B. Pavard,,,REVIEW,INITIAL_SURNAME_PBK_CANDIDATE,MEDIUM,false,1,2725,B. Pavard,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5477,Ousmane Dembélé,100,100,153,O. Dembélé,,,REVIEW,INITIAL_SURNAME_PBK_CANDIDATE,MEDIUM,false,1,153,O. Dembélé,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5478,Trent Sainsbury,1,1,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5479,Aziz Eraltay Behich,5,5,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5480,Corentin Tolisso,37,37,519,C. Tolisso,,,REVIEW,INITIAL_SURNAME_PBK_CANDIDATE,MEDIUM,false,1,519,C. Tolisso,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5481,Mathew Leckie,32,32,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5482,Josh Risdon,1,1,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5483,Daniel Arzani,3,3,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5484,Lucas Hernández Pi,9,9,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5485,Raphaël Varane,27,27,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5486,Andrew Nabbout,1,1,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5487,Antoine Griezmann,135,135,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5488,Mark Milligan,1,1,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5489,Mile Jedinak,16,16,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5490,Jackson Irvine,4,4,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5491,Tom Rogić,2,2,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5492,Samuel Yves Umtiti,32,32,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5493,Tomi Jurić,1,1,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5494,Robbie Kruse,8,8,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5495,Rúrik Gíslason,1,1,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5496,Cristian David Pavón,2,2,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5497,Gonzalo Gerardo Higuaín,46,46,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5499,Maximiliano Eduardo Meza,3,3,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
54997,Sophia Winkler,2,2,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5501,Hörður Björgvin Magnússon,1,1,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5502,Ari Freyr Skúlason,1,1,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5503,Lionel Andrés Messi Cuccittini,593,593,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5504,Éver Maximiliano David Banega,37,37,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5505,Kári Árnason,1,1,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5506,Javier Alejandro Mascherano,46,46,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
55069,Lucy Parry,5,5,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5507,Nicolás Alejandro Tagliafico,11,11,529,N. Tagliafico,,,REVIEW,INITIAL_SURNAME_PBK_CANDIDATE,MEDIUM,false,1,529,N. Tagliafico,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5509,Birkir Bjarnason,3,3,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
5510,Lucas Rodrigo Biglia,26,26,,,,,UNMATCHED,NONE,NONE,false,0,,,Stage92 StatsBomb→verified Transfermarkt→PBK bridge,true,false,false,false,false,false
