provider_league_id,league_name,country,referee,team_id,team,matches,home_matches,away_matches,wins,draws,losses,win_pct,draw_pct,loss_pct,points,points_per_match,goal_observed_matches,goals_for,goals_against,goal_difference,first_date,last_date,season_count,source_scope,cards_available,fouls_available,penalties_available,research_only,operational_betting_authority
135,Serie A,Italy,"Maurizio Mariani, Italy",501,Crotone,2,2,0,0,0,2,0.0,0.0,100.0,0,0.0,2,0,4,-4,2017-08-20,2017-12-29,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Maurizio Mariani, Italy",502,Fiorentina,4,3,1,3,0,1,75.0,0.0,25.0,9,2.25,4,9,2,7,2017-10-25,2025-12-21,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Maurizio Mariani, Italy",503,Torino,7,4,3,3,1,3,42.86,14.29,42.86,10,1.429,7,10,10,0,2017-10-25,2025-11-30,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Maurizio Mariani, Italy",504,Hellas Verona,3,3,0,1,0,2,33.33,0.0,66.67,3,1.0,3,7,7,0,2017-11-20,2026-01-15,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Maurizio Mariani, Italy",505,Inter,4,1,3,1,0,3,25.0,0.0,75.0,3,0.75,4,6,7,-1,2017-12-16,2025-10-25,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Maurizio Mariani, Italy",506,Benevento,3,1,2,1,1,1,33.33,33.33,33.33,4,1.333,3,3,5,-2,2017-12-03,2018-04-21,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Maurizio Mariani, Italy",511,Empoli,1,1,0,1,0,0,100.0,0.0,0.0,3,3.0,1,3,0,3,2019-02-17,2019-02-17,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Maurizio Mariani, Italy",512,Frosinone,1,0,1,0,1,0,0.0,100.0,0.0,1,1.0,1,0,0,0,2019-03-03,2019-03-03,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Maurizio Mariani, Italy",520,Cremonese,1,1,0,0,0,1,0.0,0.0,100.0,0,0.0,1,0,2,-2,2025-12-28,2025-12-28,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Maurizio Mariani, Italy",523,Parma,2,1,1,1,1,0,50.0,50.0,0.0,4,2.0,2,5,4,1,2020-08-02,2025-08-30,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Maurizio Mariani, Italy",867,Lecce,2,2,0,1,0,1,50.0,0.0,50.0,3,1.5,2,5,5,0,2020-08-02,2025-11-30,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",487,Lazio,4,1,3,3,1,0,75.0,25.0,0.0,10,2.5,4,6,2,4,2018-10-21,2025-12-07,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",488,Sassuolo,3,2,1,1,2,0,33.33,66.67,0.0,5,1.667,3,3,2,1,2017-10-22,2018-03-31,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",489,AC Milan,6,3,3,3,1,2,50.0,16.67,33.33,10,1.667,6,11,6,5,2017-12-23,2025-12-28,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",490,Cagliari,1,1,0,0,0,1,0.0,0.0,100.0,0,0.0,1,1,2,-1,2019-05-11,2019-05-11,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",491,Chievo,1,0,1,0,0,1,0.0,0.0,100.0,0,0.0,1,0,3,-3,2017-09-09,2017-09-09,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",492,Napoli,6,4,2,2,4,0,33.33,66.67,0.0,10,1.667,6,5,2,3,2017-08-19,2026-01-14,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",493,Spal,3,2,1,0,1,2,0.0,33.33,66.67,1,0.333,3,3,5,-2,2017-10-22,2019-05-18,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",494,Udinese,5,4,1,4,1,0,80.0,20.0,0.0,13,2.6,5,10,3,7,2017-09-30,2025-11-01,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",495,Genoa,4,3,1,2,0,2,50.0,0.0,50.0,6,1.5,4,5,5,0,2018-02-17,2025-11-29,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",496,Juventus,3,2,1,2,1,0,66.67,33.33,0.0,7,2.333,3,6,2,4,2017-09-09,2019-04-06,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",497,AS Roma,7,3,4,3,1,3,42.86,14.29,42.86,10,1.429,7,9,7,2,2017-09-20,2026-01-03,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",498,Sampdoria,4,1,3,0,2,2,0.0,50.0,50.0,2,0.5,4,5,10,-5,2017-09-30,2020-08-01,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",499,Atalanta,7,2,5,4,1,2,57.14,14.29,28.57,13,1.857,7,11,8,3,2017-11-19,2026-01-03,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",500,Bologna,3,0,3,0,2,1,0.0,66.67,33.33,2,0.667,3,2,3,-1,2017-10-28,2025-12-07,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",501,Crotone,1,1,0,0,1,0,0.0,100.0,0.0,1,1.0,1,1,1,0,2018-04-18,2018-04-18,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",502,Fiorentina,6,1,5,1,2,3,16.67,33.33,50.0,5,0.833,6,4,8,-4,2017-12-10,2018-12-26,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",503,Torino,3,1,2,0,3,0,0.0,100.0,0.0,3,1.0,3,2,2,0,2018-01-21,2019-02-17,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",504,Hellas Verona,4,2,2,0,0,4,0.0,0.0,100.0,0,0.0,4,2,9,-7,2017-08-19,2025-12-28,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",505,Inter,2,1,1,1,0,1,50.0,0.0,50.0,3,1.5,2,2,2,0,2017-11-19,2018-02-17,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",506,Benevento,1,1,0,0,0,1,0.0,0.0,100.0,0,0.0,1,0,4,-4,2017-09-20,2017-09-20,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",511,Empoli,1,1,0,0,1,0,0.0,100.0,0.0,1,1.0,1,1,1,0,2018-09-27,2018-09-27,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",512,Frosinone,1,1,0,0,0,1,0.0,0.0,100.0,0,0.0,1,0,1,-1,2019-02-04,2019-02-04,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",518,Brescia,1,1,0,0,1,0,0.0,100.0,0.0,1,1.0,1,1,1,0,2020-08-01,2020-08-01,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",520,Cremonese,1,1,0,0,1,0,0.0,100.0,0.0,1,1.0,1,1,1,0,2025-10-20,2025-10-20,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",523,Parma,4,2,2,1,2,1,25.0,50.0,25.0,5,1.25,4,4,5,-1,2018-10-21,2026-01-14,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,N. Baroni,488,Sassuolo,3,1,2,2,1,0,66.67,33.33,0.0,7,2.333,3,4,2,2,2021-11-21,2023-02-25,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,N. Baroni,490,Cagliari,1,0,1,0,1,0,0.0,100.0,0.0,1,1.0,1,2,2,0,2021-11-21,2021-11-21,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,N. Baroni,494,Udinese,2,1,1,1,0,1,50.0,0.0,50.0,3,1.5,2,4,3,1,2023-05-08,2023-05-27,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,N. Baroni,498,Sampdoria,1,0,1,0,0,1,0.0,0.0,100.0,0,0.0,1,0,2,-2,2023-05-08,2023-05-08,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,N. Baroni,503,Torino,1,1,0,0,0,1,0.0,0.0,100.0,0,0.0,1,0,1,-1,2022-09-17,2022-09-17,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,N. Baroni,514,Salernitana,1,1,0,1,0,0,100.0,0.0,0.0,3,3.0,1,3,2,1,2023-05-27,2023-05-27,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,N. Baroni,867,Lecce,1,1,0,0,0,1,0.0,0.0,100.0,0,0.0,1,0,1,-1,2023-02-25,2023-02-25,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,N. Turrini,488,Sassuolo,1,0,1,0,0,1,0.0,0.0,100.0,0,0.0,1,0,1,-1,2026-05-24,2026-05-24,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,N. Turrini,523,Parma,1,1,0,1,0,0,100.0,0.0,0.0,3,3.0,1,1,0,1,2026-05-24,2026-05-24,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,487,Lazio,2,1,1,1,0,1,50.0,0.0,50.0,3,1.5,2,4,5,-1,2021-02-27,2021-05-02,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,488,Sassuolo,3,2,1,1,0,2,33.33,0.0,66.67,3,1.0,3,6,8,-2,2019-10-20,2021-05-12,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,489,AC Milan,3,3,0,1,1,1,33.33,33.33,33.33,4,1.333,3,6,6,0,2019-09-29,2020-10-26,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,490,Cagliari,3,0,3,0,1,2,0.0,33.33,66.67,1,0.333,3,2,7,-5,2020-01-06,2021-03-07,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,492,Napoli,1,1,0,0,1,0,0.0,100.0,0.0,1,1.0,1,2,2,0,2019-10-30,2019-10-30,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,493,Spal,3,2,1,0,1,2,0.0,33.33,66.67,1,0.333,3,2,6,-4,2019-11-25,2020-07-05,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,494,Udinese,2,0,2,0,0,2,0.0,0.0,100.0,0,0.0,2,1,7,-6,2021-01-03,2021-02-14,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,495,Genoa,6,2,4,2,1,3,33.33,16.67,50.0,7,1.167,6,12,13,-1,2019-09-01,2021-10-22,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,496,Juventus,5,4,1,4,1,0,80.0,20.0,0.0,13,2.6,5,16,5,11,2020-01-06,2021-05-12,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,497,AS Roma,5,3,2,2,2,1,40.0,40.0,20.0,8,1.6,5,11,6,5,2020-02-23,2021-12-22,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,498,Sampdoria,6,3,3,4,2,0,66.67,33.33,0.0,14,2.333,6,11,4,7,2019-09-22,2021-12-22,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,499,Atalanta,2,0,2,0,2,0,0.0,100.0,0.0,2,1.0,2,4,4,0,2019-10-30,2020-07-11,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,500,Bologna,4,2,2,1,1,2,25.0,25.0,50.0,4,1.0,4,6,7,-1,2020-12-16,2021-09-26,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,501,Crotone,2,1,1,0,1,1,0.0,50.0,50.0,1,0.5,2,1,4,-3,2021-01-31,2021-05-16,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,502,Fiorentina,7,2,5,3,1,3,42.86,14.29,42.86,10,1.429,7,11,8,3,2019-09-01,2021-03-13,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,503,Torino,4,2,2,2,1,1,50.0,25.0,25.0,7,1.75,4,7,6,1,2019-09-22,2021-10-22,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,504,Hellas Verona,1,1,0,0,0,1,0.0,0.0,100.0,0,0.0,1,1,2,-1,2020-12-23,2020-12-23,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,505,Inter,5,1,4,3,2,0,60.0,40.0,0.0,11,2.2,5,8,5,3,2019-10-20,2021-04-03,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,506,Benevento,3,3,0,0,2,1,0.0,66.67,33.33,2,0.667,3,4,7,-3,2021-01-22,2021-05-16,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,511,Empoli,2,1,1,1,1,0,50.0,50.0,0.0,4,2.0,2,5,3,2,2021-09-26,2022-01-16,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,514,Salernitana,1,1,0,0,0,1,0.0,0.0,100.0,0,0.0,1,0,2,-2,2021-11-21,2021-11-21,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,515,Spezia,1,1,0,0,1,0,0.0,100.0,0.0,1,1.0,1,2,2,0,2020-12-16,2020-12-16,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,517,Venezia,1,1,0,0,1,0,0.0,100.0,0.0,1,1.0,1,1,1,0,2022-01-16,2022-01-16,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,523,Parma,2,0,2,1,0,1,50.0,0.0,50.0,3,1.5,2,5,4,1,2020-06-23,2021-04-21,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,867,Lecce,2,1,1,0,1,1,0.0,50.0,50.0,1,0.5,2,1,5,-4,2020-01-19,2020-02-23,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Tremolada,487,Lazio,3,3,0,1,2,0,33.33,66.67,0.0,5,1.667,3,5,3,2,2024-05-26,2025-01-10,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Tremolada,488,Sassuolo,1,0,1,0,1,0,0.0,100.0,0.0,1,1.0,1,1,1,0,2024-05-26,2024-05-26,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Tremolada,492,Napoli,2,2,0,2,0,0,100.0,0.0,0.0,6,3.0,2,3,1,2,2024-08-31,2024-10-26,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
