fixture_id,country,provider_competition_id,competition_name,season,round,kickoff_utc,home_team,away_team,team_id,team_name,player_id,player_name,availability_type,reason,retrieved_at_utc,source_endpoint,temporal_authority,archive_version
1382439,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T14:00:00+00:00,Cercle Brugge,Anderlecht,554,Anderlecht,371839,Ilay Camara,Missing Fixture,Muscle Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382439,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T14:00:00+00:00,Cercle Brugge,Anderlecht,554,Anderlecht,392147,Zoumana Keita,Missing Fixture,Unknown Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382439,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T14:00:00+00:00,Cercle Brugge,Anderlecht,554,Anderlecht,453957,Cedric Hatenboer,Missing Fixture,Concussion,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382439,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T14:00:00+00:00,Cercle Brugge,Anderlecht,741,Cercle Brugge,341969,Heriberto Jurado,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382439,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T14:00:00+00:00,Cercle Brugge,Anderlecht,741,Cercle Brugge,454418,Abdoul Ouattara,Missing Fixture,Broken leg,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382440,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T16:30:00+00:00,Union St. Gilloise,OH Leuven,1393,Union St. Gilloise,76579,Guillaume Francois,Missing Fixture,Unknown Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382440,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T16:30:00+00:00,Union St. Gilloise,OH Leuven,260,OH Leuven,315024,Manuel Osifo,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382440,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T16:30:00+00:00,Union St. Gilloise,OH Leuven,260,OH Leuven,71109,Bryang Kayo,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382442,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-08T18:45:00+00:00,St. Truiden,Dender,6215,Dender,315025,M. Berte,Missing Fixture,Muscle bruise,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382442,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-08T18:45:00+00:00,St. Truiden,Dender,6215,Dender,37839,Ragnar Oratmangoen,Missing Fixture,Infection,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382442,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-08T18:45:00+00:00,St. Truiden,Dender,735,St. Truiden,20839,Abdoulaye Sissako,Missing Fixture,Knee injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382442,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-08T18:45:00+00:00,St. Truiden,Dender,735,St. Truiden,21068,Loic Lapoussin,Missing Fixture,Calf Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
