team_id,team_name,player_id,player_name,injury_fixture_id,injury_kickoff_utc,return_fixture_id,return_kickoff_utc,fixtures_between_captured,return_as_starter,prior_player_quality,prior_quality_matches,return_team_points,return_team_goal_diff,temporal_authority,prematch_observation_time_known,validation_authority,research_only
735,St. Truiden,20839,Abdoulaye Sissako,1382442,2025-08-08T18:45:00+00:00,1382455,2025-08-17T14:00:00+00:00,0,YES,4.627,3,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1026,Lask Linz,7394,Maximilian Entrup,1390027,2025-08-01T18:30:00+00:00,1390042,2025-08-17T15:00:00+00:00,1,YES,,0,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
637,Sturm Graz,280091,Tim Oermann,1390037,2025-08-10T15:00:00+00:00,1390040,2025-08-16T17:30:00+00:00,0,YES,6.74,1,3,2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
637,Sturm Graz,280091,Tim Oermann,1390040,2025-08-16T17:30:00+00:00,1390052,2025-08-30T17:30:00+00:00,0,YES,5.765,2,3,3.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
637,Sturm Graz,169498,Niklas Geyrhofer,1390027,2025-08-01T18:30:00+00:00,1390118,2025-12-07T16:00:00+00:00,14,YES,3.95,2,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
637,Sturm Graz,281989,Daniil Khudyakov,1390052,2025-08-30T17:30:00+00:00,1531238,2026-04-05T15:00:00+00:00,20,YES,,0,3,2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1025,Wolfsberger AC,371027,Chibuike Nwaiwu,1390035,2025-08-10T15:00:00+00:00,1390043,2025-08-17T15:00:00+00:00,0,YES,,0,3,3.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1025,Wolfsberger AC,169349,Nikolas Polster,1399968,2025-08-31T15:00:00+00:00,1390061,2025-09-20T15:00:00+00:00,1,YES,4.453,4,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1025,Wolfsberger AC,90663,Donis Avdijaj,1399968,2025-08-31T15:00:00+00:00,1390100,2025-11-08T16:00:00+00:00,7,YES,,0,0,-1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1025,Wolfsberger AC,410096,Erik Kojzek,1399968,2025-08-31T15:00:00+00:00,1390105,2025-11-22T16:00:00+00:00,8,YES,4.67,3,0,-2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
