fixture_id,provider_league_id,competition_name,candidate_family,season,round,kickoff_utc,status,elapsed,venue_id,venue_name,venue_city,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,result,evidence_tier,direct_matchday_squad_evidence_possible,direct_minutes_evidence_possible,player_evidence_backfill_eligible,captured_at_utc,source,historical_callup_evidence_possible,nationality_inference_allowed,historical_backfill_only,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1035595,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-16T15:30:00+00:00,FT,90,,,,8180,Austria U21,8199,Iceland U21,3,1,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1035596,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-16T16:00:00+00:00,FT,90,,,,8196,Germany U21,8226,Switzerland U21,3,1,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1035597,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-16T16:00:00+00:00,FT,90,,,,8228,Ukraine U21,8217,Republic of Ireland U21,2,2,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1035598,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-16T16:30:00+00:00,FT,90,,,,8194,France U21,10293,Mexico U20,1,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1035599,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-16T16:45:00+00:00,FT,90,,,,10952,Palestine U23,10937,Iran U23,1,1,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1012347,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-16T17:00:00+00:00,FT,90,1501,Friends Arena,Solna,5,Sweden,4673,New Zealand,4,1,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1028646,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-16T18:30:00+00:00,FT,90,136,Generali Arena,Wien,14,Serbia,1548,Jordan,3,2,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1028647,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-16T18:45:00+00:00,FT,90,1245,Stadion Narodowy,Warszawa,24,Poland,25,Germany,1,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1035600,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-16T18:45:00+00:00,FT,90,,,,10192,Iraq U23,10184,UAE U23,3,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1028648,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-16T19:00:00+00:00,FT,90,1497,Estadio de Mestalla,Valencia,8,Colombia,1567,Iraq,1,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1028649,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-17T00:30:00+00:00,FT,90,334,Estadio Sausalito,Viña del Mar,2383,Chile,5532,Dominican Republic,5,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1035601,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-17T10:00:00+00:00,CANC,,,,,2523,Johor Darul Takzim FC,4200,Albirex Niigata S,,,,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1028672,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-06-17T12:00:00+00:00,FT,90,,National Sports Complex Pitch 1,Saint Pierre,5535,Pakistan,1535,Djibouti,1,3,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1035602,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-06-17T12:00:00+00:00,FT,90,,,,1535,Djibouti,5535,Pakistan,3,1,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
