api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,bet_id,bet_name,line,open_b365_f1_0,open_b365_f2_0,open_p_f1_0,open_p_f2_0,status,source
1549019,Danish Superliga,119,2026-09-11T14:03:50Z,2026-09-13T16:00:00Z,FC Nordsjaelland,Aarhus,4,Asian Handicap,0,1.4,2.85,0.67058824,0.32941176,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1549018,Danish Superliga,119,2026-09-11T14:03:50Z,2026-09-14T17:00:00Z,FC Midtjylland,Brondby,4,Asian Handicap,0,1.42,2.75,0.65947242,0.34052758,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1547629,A Lyga,362,2026-09-11T14:03:50Z,2026-09-13T11:30:00Z,Panevėžys,Kauno Žalgiris,4,Asian Handicap,0,3.9,1.24,0.24124514,0.75875486,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1547631,A Lyga,362,2026-09-11T14:03:50Z,2026-09-13T14:00:00Z,Šiauliai,Hegelmann Litauen,4,Asian Handicap,0,1.95,1.85,0.48684211,0.51315789,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1547630,A Lyga,362,2026-09-11T14:03:50Z,2026-09-13T15:45:00Z,Suduva Marijampole,FK Zalgiris Vilnius,4,Asian Handicap,0,2.0,1.8,0.47368421,0.52631579,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1547633,A Lyga,362,2026-09-11T14:03:50Z,2026-09-14T15:45:00Z,Banga,TransINVEST Vilnius,4,Asian Handicap,0,1.95,1.85,0.48684211,0.51315789,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1515921,Virsliga,365,2026-09-11T14:03:50Z,2026-09-11T15:00:00Z,Riga,Auda,4,Asian Handicap,0,1.15,5.5,0.82706767,0.17293233,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1515920,Virsliga,365,2026-09-11T14:03:50Z,2026-09-12T11:00:00Z,Grobiņa,FS Jelgava,4,Asian Handicap,0,1.98,1.82,0.47894737,0.52105263,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1515922,Virsliga,365,2026-09-11T14:03:50Z,2026-09-13T11:00:00Z,BFC Daugavpils,Rīgas FS,4,Asian Handicap,0,6.6,1.11,0.14396887,0.85603113,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552164,Eredivisie,88,2026-09-11T14:03:50Z,2026-09-12T16:45:00Z,GO Ahead Eagles,Groningen,4,Asian Handicap,0,1.75,2.05,0.53947368,0.46052632,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
