season,player_id,team_id,team_name,status,attempts,last_attempt_at_utc,last_error
2026,106835,51,Brighton,CAPTURED,1,2026-09-18T18:55:41Z,
2026,115588,108,Auxerre,EMPTY,1,2026-09-18T18:55:41Z,
2026,125418,163,Borussia Mönchengladbach,EMPTY,1,2026-09-18T18:55:41Z,
2026,128987,84,Nice,EMPTY,1,2026-09-18T18:55:41Z,
2026,129142,63,Leeds,EMPTY,1,2026-09-18T18:55:41Z,
2026,129682,35,Bournemouth,CAPTURED,1,2026-09-18T18:55:41Z,
2026,135775,91,Monaco,EMPTY,1,2026-09-18T18:55:41Z,
2026,136087,502,Fiorentina,EMPTY,1,2026-09-18T18:55:41Z,
2026,137976,499,Atalanta,CAPTURED,1,2026-09-18T18:55:41Z,
2026,138835,91,Monaco,CAPTURED,1,2026-09-18T18:55:41Z,
2026,157997,33,Manchester United,CAPTURED,1,2026-09-18T18:55:41Z,
2026,158053,165,Borussia Dortmund,EMPTY,1,2026-09-18T18:55:41Z,
2026,161922,169,Eintracht Frankfurt,EMPTY,1,2026-09-18T18:55:41Z,
2026,161923,175,Hamburger SV,CAPTURED,1,2026-09-18T18:55:41Z,
2026,162236,97,Lorient,EMPTY,1,2026-09-18T18:55:41Z,
2026,162480,164,FSV Mainz 05,EMPTY,1,2026-09-18T18:55:41Z,
2026,162714,66,Aston Villa,CAPTURED,1,2026-09-18T18:55:41Z,
2026,162991,64,Hull City,EMPTY,1,2026-09-18T18:55:41Z,
2026,174565,40,Liverpool,CAPTURED,1,2026-09-18T18:55:41Z,
2026,174596,110,Estac Troyes,EMPTY,1,2026-09-18T18:55:41Z,
2026,17714,1346,Coventry,EMPTY,1,2026-09-18T18:55:41Z,
2026,178405,163,Borussia Mönchengladbach,EMPTY,1,2026-09-18T18:55:41Z,
2026,180316,40,Liverpool,EMPTY,1,2026-09-18T18:55:41Z,
2026,180940,49,Chelsea,EMPTY,1,2026-09-18T18:55:41Z,
2026,18397,57,Ipswich,EMPTY,1,2026-09-18T18:55:41Z,
2026,1841,487,Lazio,EMPTY,1,2026-09-18T18:55:41Z,
2026,185234,535,Malaga,EMPTY,1,2026-09-18T18:55:41Z,
2026,18824,1579,Monza,EMPTY,1,2026-09-18T18:55:41Z,
2026,18932,35,Bournemouth,EMPTY,1,2026-09-18T18:55:41Z,
2026,18958,57,Ipswich,EMPTY,1,2026-09-18T18:55:41Z,
2026,18961,34,Newcastle,CAPTURED,1,2026-09-18T18:55:41Z,
2026,189997,530,Atletico Madrid,EMPTY,1,2026-09-18T18:55:41Z,
2026,19025,36,Fulham,EMPTY,1,2026-09-18T18:55:41Z,
2026,19070,35,Bournemouth,EMPTY,1,2026-09-18T18:55:41Z,
2026,191240,108,Auxerre,CAPTURED,1,2026-09-18T18:55:41Z,
2026,1914,84,Nice,EMPTY,1,2026-09-18T18:55:41Z,
2026,19235,505,Inter,CAPTURED,1,2026-09-18T18:55:41Z,
2026,19312,65,Nottingham Forest,EMPTY,1,2026-09-18T18:55:41Z,
2026,193505,108,Auxerre,EMPTY,1,2026-09-18T18:55:41Z,
2026,19362,55,Brentford,EMPTY,1,2026-09-18T18:55:41Z,
2026,197500,495,Genoa,CAPTURED,1,2026-09-18T18:55:41Z,
2026,199837,499,Atalanta,CAPTURED,1,2026-09-18T18:55:41Z,
2026,200873,97,Lorient,EMPTY,1,2026-09-18T18:55:41Z,
2026,202736,164,FSV Mainz 05,EMPTY,1,2026-09-18T18:55:41Z,
2026,202755,170,FC Augsburg,EMPTY,1,2026-09-18T18:55:41Z,
2026,202976,167,1899 Hoffenheim,EMPTY,1,2026-09-18T18:55:41Z,
2026,20554,77,Angers,EMPTY,1,2026-09-18T18:55:41Z,
2026,20917,84,Nice,EMPTY,1,2026-09-18T18:55:41Z,
2026,20936,97,Lorient,EMPTY,1,2026-09-18T18:55:41Z,
2026,21135,110,Estac Troyes,EMPTY,1,2026-09-18T18:55:41Z,
2026,213,1579,Monza,EMPTY,1,2026-09-18T18:55:41Z,
2026,21701,727,Osasuna,EMPTY,1,2026-09-18T18:55:41Z,
2026,22090,42,Arsenal,CAPTURED,1,2026-09-18T18:55:41Z,
2026,24228,174,FC Schalke 04,EMPTY,1,2026-09-18T18:55:41Z,
2026,24259,1298,Le Mans,EMPTY,1,2026-09-18T18:55:41Z,
2026,24892,192,1. FC Köln,EMPTY,1,2026-09-18T18:55:41Z,
2026,25586,174,FC Schalke 04,EMPTY,1,2026-09-18T18:55:41Z,
2026,25627,163,Borussia Mönchengladbach,EMPTY,1,2026-09-18T18:55:41Z,
2026,26260,192,1. FC Köln,EMPTY,1,2026-09-18T18:55:41Z,
2026,26291,169,Eintracht Frankfurt,EMPTY,1,2026-09-18T18:55:41Z,
2026,26525,174,FC Schalke 04,EMPTY,1,2026-09-18T18:55:41Z,
2026,266192,174,FC Schalke 04,EMPTY,1,2026-09-18T18:55:41Z,
2026,278556,97,Lorient,CAPTURED,1,2026-09-18T18:55:41Z,
2026,280358,163,Borussia Mönchengladbach,CAPTURED,1,2026-09-18T18:55:41Z,
2026,280463,165,Borussia Dortmund,EMPTY,1,2026-09-18T18:55:41Z,
2026,282124,64,Hull City,EMPTY,1,2026-09-18T18:55:41Z,
2026,282637,51,Brighton,CAPTURED,1,2026-09-18T18:55:41Z,
2026,286594,535,Malaga,EMPTY,1,2026-09-18T18:55:41Z,
2026,292,49,Chelsea,CAPTURED,1,2026-09-18T18:55:41Z,
2026,2930,64,Hull City,EMPTY,1,2026-09-18T18:55:41Z,
2026,2931,33,Manchester United,EMPTY,1,2026-09-18T18:55:41Z,
2026,298128,1346,Coventry,EMPTY,1,2026-09-18T18:55:41Z,
2026,299763,544,Deportivo La Coruna,EMPTY,1,2026-09-18T18:55:41Z,
2026,30407,45,Everton,EMPTY,1,2026-09-18T18:55:41Z,
2026,30410,40,Liverpool,EMPTY,1,2026-09-18T18:55:41Z,
2026,30419,499,Atalanta,EMPTY,1,2026-09-18T18:55:41Z,
2026,30436,1579,Monza,EMPTY,1,2026-09-18T18:55:41Z,
2026,30513,512,Frosinone,EMPTY,1,2026-09-18T18:55:41Z,
2026,30748,108,Auxerre,EMPTY,1,2026-09-18T18:55:41Z,
2026,31226,492,Napoli,EMPTY,1,2026-09-18T18:55:41Z,
2026,31318,490,Cagliari,EMPTY,1,2026-09-18T18:55:41Z,
