watch_id,api_fixture_id,league,league_id,direction,display_selection,crossed_at_utc,kickoff_utc,minutes_to_kickoff,home_team,away_team,open_p_yes,cross_p_yes,movement_yes_pp,bet365_cross_yes,bet365_cross_no,user_bookmaker,user_cross_yes,user_cross_no,user_cross_selected_odds,status,note
BTTS_YES|1550128,1550128,Serie A,135,YES,ОЗ — Да,2026-09-16T16:16:35Z,2026-09-19T16:00:00Z,4303.4,AS Roma,Inter,0.57591623,0.60869565,0.03277942,1.53,2.38,Marathonbet,1.49,2.44,1.49,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1570385,1570385,La Liga,140,YES,ОЗ — Да,2026-09-16T18:18:28Z,2026-09-16T19:30:00Z,71.5,Barcelona,Racing Santander,0.52000000,0.57591623,0.05591623,1.62,2.2,Marathonbet,1.64,2.12,1.64,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_NO|1570400,1570400,La Liga,140,NO,ОЗ — Нет,2026-09-17T02:16:08Z,2026-09-19T19:00:00Z,3883.9,Sevilla,Barcelona,0.53333333,0.50000000,-0.03333333,1.91,1.91,Marathonbet,1.72,2.0,2.0,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1550131,1550131,Serie A,135,YES,ОЗ — Да,2026-09-17T14:17:24Z,2026-09-20T13:00:00Z,4242.6,Frosinone,Como,0.55702918,0.58900524,0.03197606,1.57,2.25,Marathonbet,1.57,2.25,1.57,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1575173,1575173,Bundesliga,78,YES,ОЗ — Да,2026-09-17T16:17:35Z,2026-09-20T15:30:00Z,4272.4,FC Schalke 04,SV Elversberg,0.58900524,0.66265060,0.07364536,1.4,2.75,Marathonbet,1.44,2.58,1.44,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_NO|1552773,1552773,Ligue 1,61,NO,ОЗ — Нет,2026-09-17T20:16:57Z,2026-09-20T18:45:00Z,4228.1,Marseille,Paris Saint Germain,0.64532020,0.60869565,-0.03662455,1.53,2.38,Marathonbet,1.51,2.39,2.39,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1575172,1575172,Bundesliga,78,YES,ОЗ — Да,2026-09-17T22:15:24Z,2026-09-19T13:30:00Z,2354.6,Werder Bremen,FC Augsburg,0.64532020,0.68807339,0.04275319,1.36,3.0,Marathonbet,1.36,2.88,1.36,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1550133,1550133,Serie A,135,YES,ОЗ — Да,2026-09-18T08:16:55Z,2026-09-18T18:45:00Z,628.1,Monza,Sassuolo,0.54666667,0.58900524,0.04233857,1.57,2.25,Marathonbet,1.56,2.27,1.56,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1550130,1550130,Serie A,135,YES,ОЗ — Да,2026-09-18T14:16:25Z,2026-09-20T10:30:00Z,2653.6,Fiorentina,Napoli,0.52000000,0.55702918,0.03702918,1.67,2.1,Marathonbet,1.67,2.08,1.67,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1552765,1552765,Ligue 1,61,YES,ОЗ — Да,2026-09-18T14:16:25Z,2026-09-19T18:45:00Z,1708.6,Angers,Estac Troyes,0.50000000,0.53333333,0.03333333,1.75,2.0,Marathonbet,1.75,1.96,1.75,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_NO|1552769,1552769,Ligue 1,61,NO,ОЗ — Нет,2026-09-18T14:16:25Z,2026-09-18T18:45:00Z,268.6,Monaco,Lens,0.64532020,0.60869565,-0.03662455,1.53,2.38,Marathonbet,1.54,2.32,2.32,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
BTTS_YES|1570395,1570395,La Liga,140,YES,ОЗ — Да,2026-09-18T14:16:25Z,2026-09-19T16:30:00Z,1573.6,Celta Vigo,Racing Santander,0.55702918,0.58900524,0.03197606,1.57,2.25,Marathonbet,1.59,2.21,1.59,WATCH_ONLY,Prospective research crossing; not a canonical bet signal
