fixture_id,provider_league_id,league_name,country,country_flag_url,league_logo_url,season,round,kickoff_utc,home_team,home_team_logo_url,away_team,away_team_logo_url,referee,venue_name,venue_city,status,source_status,score_home,score_away,observed_at_utc
1558644,144,Jupiler Pro League,Belgium,https://media.api-sports.io/flags/be.svg,https://media.api-sports.io/football/leagues/144.png,2026,Regular Season - 8,2026-10-09T18:45:00+00:00,SK Beveren,https://media.api-sports.io/football/teams/738.png,Lommel United,https://media.api-sports.io/football/teams/259.png,,Freethiel Stadion,Beveren,scheduled,NS,,,2026-09-21T00:35:23Z
1558645,144,Jupiler Pro League,Belgium,https://media.api-sports.io/flags/be.svg,https://media.api-sports.io/football/leagues/144.png,2026,Regular Season - 8,2026-10-10T14:00:00+00:00,Cercle Brugge,https://media.api-sports.io/football/teams/741.png,Anderlecht,https://media.api-sports.io/football/teams/554.png,,Jan Breydel Stadion,Brugge,scheduled,NS,,,2026-09-21T00:35:23Z
1558648,144,Jupiler Pro League,Belgium,https://media.api-sports.io/flags/be.svg,https://media.api-sports.io/football/leagues/144.png,2026,Regular Season - 8,2026-10-10T16:15:00+00:00,RAAL La Louvière,https://media.api-sports.io/football/teams/5902.png,Club Brugge KV,https://media.api-sports.io/football/teams/569.png,,Easi Arena,,scheduled,NS,,,2026-09-21T00:35:23Z
1558646,144,Jupiler Pro League,Belgium,https://media.api-sports.io/flags/be.svg,https://media.api-sports.io/football/leagues/144.png,2026,Regular Season - 8,2026-10-10T18:45:00+00:00,Genk,https://media.api-sports.io/football/teams/742.png,Kortrijk,https://media.api-sports.io/football/teams/734.png,,Cegeka Arena,Genk,scheduled,NS,,,2026-09-21T00:35:23Z
1558651,144,Jupiler Pro League,Belgium,https://media.api-sports.io/flags/be.svg,https://media.api-sports.io/football/leagues/144.png,2026,Regular Season - 8,2026-10-10T18:45:00+00:00,Zulte Waregem,https://media.api-sports.io/football/teams/600.png,Gent,https://media.api-sports.io/football/teams/631.png,,Elindus Arena,Waregem,scheduled,NS,,,2026-09-21T00:35:23Z
1558650,144,Jupiler Pro League,Belgium,https://media.api-sports.io/flags/be.svg,https://media.api-sports.io/football/leagues/144.png,2026,Regular Season - 8,2026-10-11T11:30:00+00:00,Standard Liege,https://media.api-sports.io/football/teams/733.png,Charleroi,https://media.api-sports.io/football/teams/736.png,,Maurice Dufrasnestadion,,scheduled,NS,,,2026-09-21T00:35:23Z
1558649,144,Jupiler Pro League,Belgium,https://media.api-sports.io/flags/be.svg,https://media.api-sports.io/football/leagues/144.png,2026,Regular Season - 8,2026-10-11T14:00:00+00:00,Union St. Gilloise,https://media.api-sports.io/football/teams/1393.png,OH Leuven,https://media.api-sports.io/football/teams/260.png,,Stade Joseph Marien,Brussels,scheduled,NS,,,2026-09-21T00:35:23Z
1558652,144,Jupiler Pro League,Belgium,https://media.api-sports.io/flags/be.svg,https://media.api-sports.io/football/leagues/144.png,2026,Regular Season - 8,2026-10-11T16:30:00+00:00,KVC Westerlo,https://media.api-sports.io/football/teams/261.png,Antwerp,https://media.api-sports.io/football/teams/740.png,,Het Kuipje,Westerlo,scheduled,NS,,,2026-09-21T00:35:23Z
1558647,144,Jupiler Pro League,Belgium,https://media.api-sports.io/flags/be.svg,https://media.api-sports.io/football/leagues/144.png,2026,Regular Season - 8,2026-10-11T17:15:00+00:00,KV Mechelen,https://media.api-sports.io/football/teams/266.png,St. Truiden,https://media.api-sports.io/football/teams/735.png,,Achter de Kazerne,Mechelen,scheduled,NS,,,2026-09-21T00:35:23Z
1556671,179,Premiership,Scotland,https://media.api-sports.io/flags/gb-sct.svg,https://media.api-sports.io/football/leagues/179.png,2026,Regular Season - 8,2026-10-10T14:00:00+00:00,Dundee Utd,https://media.api-sports.io/football/teams/1386.png,Hibernian,https://media.api-sports.io/football/teams/249.png,,Tannadice Park,Dundee,scheduled,NS,,,2026-09-21T00:35:23Z
1556672,179,Premiership,Scotland,https://media.api-sports.io/flags/gb-sct.svg,https://media.api-sports.io/football/leagues/179.png,2026,Regular Season - 8,2026-10-10T14:00:00+00:00,Falkirk,https://media.api-sports.io/football/teams/1389.png,Dundee,https://media.api-sports.io/football/teams/253.png,,Falkirk Stadium,Falkirk,scheduled,NS,,,2026-09-21T00:35:23Z
1556673,179,Premiership,Scotland,https://media.api-sports.io/flags/gb-sct.svg,https://media.api-sports.io/football/leagues/179.png,2026,Regular Season - 8,2026-10-10T14:00:00+00:00,Heart Of Midlothian,https://media.api-sports.io/football/teams/254.png,ST Mirren,https://media.api-sports.io/football/teams/251.png,,Tynecastle Park,Edinburgh,scheduled,NS,,,2026-09-21T00:35:23Z
1556675,179,Premiership,Scotland,https://media.api-sports.io/flags/gb-sct.svg,https://media.api-sports.io/football/leagues/179.png,2026,Regular Season - 8,2026-10-10T14:00:00+00:00,Rangers,https://media.api-sports.io/football/teams/257.png,Kilmarnock,https://media.api-sports.io/football/teams/250.png,,Ibrox Stadium,Glasgow,scheduled,NS,,,2026-09-21T00:35:23Z
1556674,179,Premiership,Scotland,https://media.api-sports.io/flags/gb-sct.svg,https://media.api-sports.io/football/leagues/179.png,2026,Regular Season - 8,2026-10-11T11:00:00+00:00,Motherwell,https://media.api-sports.io/football/teams/256.png,Celtic,https://media.api-sports.io/football/teams/247.png,,Fir Park,Motherwell,scheduled,NS,,,2026-09-21T00:35:23Z
1556670,179,Premiership,Scotland,https://media.api-sports.io/flags/gb-sct.svg,https://media.api-sports.io/football/leagues/179.png,2026,Regular Season - 8,2026-10-11T13:00:00+00:00,Aberdeen,https://media.api-sports.io/football/teams/252.png,ST Johnstone,https://media.api-sports.io/football/teams/258.png,,Pittodrie Stadium,Aberdeen,scheduled,NS,,,2026-09-21T00:35:23Z
1584418,203,Süper Lig,Turkey,https://media.api-sports.io/flags/tr.svg,https://media.api-sports.io/football/leagues/203.png,2026,Regular Season - 6,2026-09-18T17:00:00+00:00,Kasımpaşa,https://media.api-sports.io/football/teams/1004.png,Konyaspor,https://media.api-sports.io/football/teams/607.png,"Davut Dakul Celik, Türkiye",Recep Tayyip Erdogan Stadium,Istanbul,finished,FT,0,0,2026-09-21T00:35:23Z
1584414,203,Süper Lig,Turkey,https://media.api-sports.io/flags/tr.svg,https://media.api-sports.io/football/leagues/203.png,2026,Regular Season - 6,2026-09-19T14:00:00+00:00,Çorum FK,https://media.api-sports.io/football/teams/6343.png,Alanyaspor,https://media.api-sports.io/football/teams/996.png,"Alper Akarsu, Türkiye",Corum Stadyumu,Corum,finished,FT,1,2,2026-09-21T00:35:23Z
1584419,203,Süper Lig,Turkey,https://media.api-sports.io/flags/tr.svg,https://media.api-sports.io/football/leagues/203.png,2026,Regular Season - 6,2026-09-19T14:00:00+00:00,Kocaelispor,https://media.api-sports.io/football/teams/7411.png,Gaziantep FK,https://media.api-sports.io/football/teams/3573.png,"Halil Umut Meler, Türkiye",Yildiz Entegre Kocaeli Stadyumu,Kocaeli,finished,FT,2,0,2026-09-21T00:35:23Z
1584413,203,Süper Lig,Turkey,https://media.api-sports.io/flags/tr.svg,https://media.api-sports.io/football/leagues/203.png,2026,Regular Season - 6,2026-09-19T17:00:00+00:00,Başakşehir,https://media.api-sports.io/football/teams/564.png,Gençlerbirliği S.K.,https://media.api-sports.io/football/teams/997.png,"Atilla Karaoglan, Türkiye",Basaksehir Fatih Terim Stadium,Istanbul,finished,FT,4,0,2026-09-21T00:35:23Z
1584420,203,Süper Lig,Turkey,https://media.api-sports.io/flags/tr.svg,https://media.api-sports.io/football/leagues/203.png,2026,Regular Season - 6,2026-09-19T17:00:00+00:00,Trabzonspor,https://media.api-sports.io/football/teams/998.png,Galatasaray,https://media.api-sports.io/football/teams/645.png,"Batuhan Kolak, Türkiye",Papara Park,Trabzon,finished,FT,4,0,2026-09-21T00:35:23Z
1584415,203,Süper Lig,Turkey,https://media.api-sports.io/flags/tr.svg,https://media.api-sports.io/football/leagues/203.png,2026,Regular Season - 6,2026-09-20T14:00:00+00:00,Erzurumspor FK,https://media.api-sports.io/football/teams/1009.png,Samsunspor,https://media.api-sports.io/football/teams/3603.png,"Abdullah Bugra Taskinsoy, Türkiye",Kazim Karabekir Stadyumu,Erzurum,finished,FT,1,0,2026-09-21T00:35:23Z
