country,provider_league_id,league_name,season,provider_season_available,backfill_status,state_provider_fixture_rows,archive_rows,unique_fixture_ids,duplicate_fixture_ids,finished_rows,nonfinished_rows,participant_teams,min_team_archive_matches,max_team_archive_matches,min_team_finished_matches,max_team_finished_matches,unique_round_labels,phase_marker_types,phase_marker_round_labels,has_phase_markers,balanced_archive_appearances,balanced_finished_appearances,structure_class,naive_single_table_motivation_allowed,exact_motivation_contract_status,inventory_only,provider_calls,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
Denmark,119,Superliga,2019,true,CAPTURED,243,243,243,0,243,0,14,32,37,32,37,46,CHAMPIONSHIP|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Europa League Play-offs - Final || Europa League Play-offs - Quarter-finals || Europa League Play-offs - Semi-finals || Relegation Play-offs - Final || Relegation Round - 1 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Denmark,119,Superliga,2020,true,CAPTURED,193,193,193,0,193,0,12,32,33,32,33,43,CHAMPIONSHIP|CONFERENCE|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-offs - Final || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Denmark,119,Superliga,2021,true,CAPTURED,193,193,193,0,193,0,12,32,33,32,33,43,CHAMPIONSHIP|CONFERENCE|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-offs - Final || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Denmark,119,Superliga,2022,true,CAPTURED,193,193,193,0,193,0,12,32,33,32,33,43,CHAMPIONSHIP|CONFERENCE|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-offs - Final || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Denmark,119,Superliga,2023,true,CAPTURED,193,193,193,0,193,0,12,32,33,32,33,43,CHAMPIONSHIP|CONFERENCE|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-offs - Final || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Denmark,119,Superliga,2024,true,CAPTURED,193,193,193,0,193,0,12,32,33,32,33,43,CHAMPIONSHIP|CONFERENCE|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-offs - Final || Relegation Round - 1 || Relegation Round - 10 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6 || Relegation Round - 7 || Relegation Round - 8 || Relegation Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Denmark,119,Superliga,2025,true,CAPTURED,193,193,193,0,193,0,12,32,33,32,33,43,CHAMPIONSHIP|FINALS|GROUP|RELEGATION,Championship Group - 23 || Championship Group - 24 || Championship Group - 25 || Championship Group - 26 || Championship Group - 27 || Championship Group - 28 || Championship Group - 29 || Championship Group - 30 || Championship Group - 31 || Championship Group - 32 || Final || Relegation Group - 23 || Relegation Group - 24 || Relegation Group - 25 || Relegation Group - 26 || Relegation Group - 27 || Relegation Group - 28 || Relegation Group - 29 || Relegation Group - 30 || Relegation Group - 31 || Relegation Group - 32,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
England,39,Premier League,2017,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
England,39,Premier League,2018,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
England,39,Premier League,2019,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
England,39,Premier League,2020,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
England,39,Premier League,2021,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
England,39,Premier League,2022,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
England,39,Premier League,2023,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
England,39,Premier League,2024,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
England,39,Premier League,2025,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
France,61,Ligue 1,2017,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
France,61,Ligue 1,2018,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
France,61,Ligue 1,2019,true,CAPTURED,380,380,380,0,279,101,20,38,38,27,28,38,,,false,true,false,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
France,61,Ligue 1,2020,true,CAPTURED,382,382,382,0,382,0,21,2,40,2,40,39,RELEGATION,Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
France,61,Ligue 1,2021,true,CAPTURED,382,382,382,0,382,0,21,2,40,2,40,39,RELEGATION,Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
France,61,Ligue 1,2022,true,CAPTURED,380,380,380,0,380,0,20,38,38,38,38,38,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
France,61,Ligue 1,2023,true,CAPTURED,308,308,308,0,308,0,19,2,36,2,36,35,RELEGATION,Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
France,61,Ligue 1,2024,true,CAPTURED,308,308,308,0,308,0,19,2,36,2,36,35,RELEGATION,Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
France,61,Ligue 1,2025,true,CAPTURED,308,308,308,0,307,1,19,2,36,2,36,35,FINALS,Final,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Germany,78,Bundesliga,2017,true,CAPTURED,306,306,306,0,306,0,18,34,34,34,34,34,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
Germany,78,Bundesliga,2018,true,CAPTURED,308,308,308,0,308,0,19,2,36,2,36,35,FINALS,Finals,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Germany,78,Bundesliga,2019,true,CAPTURED,308,308,308,0,308,0,19,2,36,2,36,35,RELEGATION,Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Germany,78,Bundesliga,2020,true,CAPTURED,308,308,308,0,308,0,19,2,36,2,36,35,RELEGATION,Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Germany,78,Bundesliga,2021,true,CAPTURED,308,308,308,0,308,0,19,2,36,2,36,35,RELEGATION,Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Germany,78,Bundesliga,2022,true,CAPTURED,308,308,308,0,308,0,19,2,36,2,36,35,RELEGATION,Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Germany,78,Bundesliga,2023,true,CAPTURED,308,308,308,0,308,0,19,2,36,2,36,35,RELEGATION,Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Germany,78,Bundesliga,2024,true,CAPTURED,308,308,308,0,308,0,19,2,36,2,36,35,RELEGATION,Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
