entity_id,entity_type,rule_or_stage,api_fixture_id,league,home_team,away_team,kickoff_utc,event_time_utc,event_type,status,selection,bookmaker,odds,details
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T14:45:49Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T15:44:45Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T17:42:41Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T18:45:25Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T19:42:30Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T20:44:16Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T21:41:40Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T22:42:11Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T23:41:11Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T00:47:34Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T01:43:03Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T02:44:13Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T03:43:47Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T04:44:10Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T05:42:54Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T06:47:25Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
