provider_league_id,league_name,country,referee,matches,season_count,first_date,last_date,unique_teams,home_wins,draws,away_wins,home_win_pct,draw_pct,away_win_pct,goal_observed_matches,total_goals,goals_per_observed_match,source_scope,cards_available,fouls_available,penalties_available,research_only,operational_betting_authority
135,Serie A,Italy,"Maurizio Mariani, Italy",41,5,2017-08-20,2026-01-15,23,19,6,16,46.34,14.63,39.02,41,123,3.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Michael Fabbri, Italy",41,4,2017-08-19,2026-01-14,25,15,14,12,36.59,34.15,29.27,41,95,2.317,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,N. Baroni,5,2,2021-11-21,2023-05-27,7,2,1,2,40.0,20.0,40.0,5,13,2.6,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,N. Turrini,1,1,2026-05-24,2026-05-24,2,1,0,0,100.0,0.0,0.0,1,1,1.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Giacomelli,38,3,2019-09-01,2022-01-16,25,15,12,11,39.47,31.58,28.95,38,129,3.395,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Tremolada,8,2,2023-10-23,2025-01-10,11,4,3,1,50.0,37.5,12.5,8,22,2.75,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,P. Valeri,48,4,2019-09-21,2023-06-04,21,17,9,22,35.42,18.75,45.83,48,157,3.271,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Paolo Silvio Mazzoleni, Italy",35,2,2017-08-27,2019-05-26,21,10,11,14,28.57,31.43,40.0,35,104,2.971,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Paolo Tagliavento, Italy",16,1,2017-08-20,2018-05-13,17,5,5,6,31.25,31.25,37.5,16,41,2.562,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Paolo Valeri, Italy",33,3,2017-08-27,2021-05-23,20,17,8,8,51.52,24.24,24.24,33,91,2.758,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Paride Tremolada, Italy",2,1,2025-08-25,2025-09-14,4,1,1,0,50.0,50.0,0.0,2,3,1.5,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Piero Giacomelli, Italy",35,3,2017-08-20,2020-08-01,20,14,8,13,40.0,22.86,37.14,35,101,2.886,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,R. Abisso,77,7,2019-08-31,2026-05-09,28,26,20,31,33.77,25.97,40.26,77,196,2.545,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,R. Ros,2,2,2019-11-03,2020-12-16,4,0,1,1,0.0,50.0,50.0,2,7,3.5,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Riccardo Pinzani, Italy",1,1,2018-05-19,2018-05-19,2,1,0,0,100.0,0.0,0.0,1,3,3.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Riccardo Ros, Italy",1,1,2019-05-04,2019-05-04,2,0,0,1,0.0,0.0,100.0,1,4,4.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Rosario Abisso, Italy",40,3,2017-08-20,2026-01-10,25,21,8,11,52.5,20.0,27.5,40,110,2.75,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,S. Galipo,1,1,2026-05-08,2026-05-08,2,1,0,0,100.0,0.0,0.0,1,3,3.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,S. Sozza,69,7,2020-01-26,2026-05-24,27,32,16,21,46.38,23.19,30.43,69,207,3.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Serra Marco, Italy",2,2,2018-12-02,2020-08-01,3,1,1,0,50.0,50.0,0.0,2,5,2.5,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Simone Sozza, Italy",9,1,2025-08-24,2026-01-07,12,3,4,2,33.33,44.44,22.22,9,17,1.889,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,V. Crezzini,3,2,2025-05-11,2026-05-03,6,0,1,2,0.0,33.33,66.67,3,6,2.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,V. Marini,9,2,2020-10-25,2021-09-11,14,3,4,2,33.33,44.44,22.22,9,31,3.444,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Valerio Crezzini, Italy",7,1,2025-08-31,2025-12-14,12,4,2,1,57.14,28.57,14.29,7,22,3.143,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,A. Cordero,10,1,2026-02-09,2026-05-23,14,8,1,1,80.0,10.0,10.0,10,30,3.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,A. Hernandez,9,1,2026-01-24,2026-05-23,14,7,2,0,77.78,22.22,0.0,9,31,3.444,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,A. Quintero,10,1,2026-01-17,2026-05-23,14,6,3,1,60.0,30.0,10.0,10,28,2.8,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
