fixture_id,provider_league_id,league_name,season,round,kickoff_utc,home_team,away_team,home_goals,away_goals,goals_total,venue_id,venue_name,surface_provider,roof_type,environment_source_class,environment_usable_for_prematch,environment_geocode_quality_status,environment_geocode_resolver_version,temperature_mean_c,apparent_temperature_mean_c,relative_humidity_mean_pct,dew_point_mean_c,surface_pressure_mean_hpa,precipitation_sum_mm,rain_sum_mm,showers_sum_mm,snowfall_sum_cm,visibility_min_m,wind_speed_mean_kmh,wind_speed_max_kmh,wind_gust_mean_kmh,wind_gust_max_kmh,weather_code_mode,shots_total,shots_on_goal_total,shots_outsidebox_total,goalkeeper_saves_total,corners_total,passes_accuracy_mean,expected_goals_total,normal_goals,penalty_goals,own_goals,red_card_events,var_events,goalkeeper_error_evidence,mechanism_coverage_status,causal_claim_authorized,research_only,predictive_authority,betting_authority,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1575172,78,Bundesliga,2026,Regular Season - 4,2026-09-19T13:30:00+00:00,Werder Bremen,FC Augsburg,3,2,5,22796,Weserstadion,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,19.65,17.95,67,13.35,1011.475,0,0,0,0,37140,18.875,20.1,47.175,52.6,3,27,15,6,9,4,,,5,0,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1575174,78,Bundesliga,2026,Regular Season - 4,2026-09-19T13:30:00+00:00,Borussia Mönchengladbach,FSV Mainz 05,3,4,7,20471,BORUSSIA-PARK,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,22.25,19.55,48.5,10.8,1011.875,0,0,0,0,50000,19.8,20.5,38.95,40.3,3,38,15,8,8,10,,,6,2,0,0,1,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1494765,103,Eliteserien,2026,Regular Season - 22,2026-09-19T14:00:00+00:00,Kristiansund BK,Rosenborg,1,3,4,19680,Nordmøre stadion,artificial turf,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,12.233,8.633,76.667,8.267,985.067,0.1,0.1,0,0,7300,21.733,23.4,38.033,40.3,3,31,15,10,8,10,,,4,0,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1556664,179,Premiership,2026,Regular Season - 7,2026-09-19T14:00:00+00:00,Dundee,Motherwell,2,1,3,20420,The Scot Foam Stadium at Dens Park,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,15.733,9.6,53,6.133,995.233,0,0,0,0,26760,35.167,38.2,66.467,72.4,0,26,10,7,7,18,,,2,1,0,0,1,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1556665,179,Premiership,2026,Regular Season - 7,2026-09-19T14:00:00+00:00,Hibernian,Aberdeen,1,1,2,1394,Easter Road Stadium,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,14.967,10.267,62,7.7,997.6,0,0,0,0,20720,28.167,28.4,58.767,60.1,1,21,4,10,3,15,,,1,1,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1556667,179,Premiership,2026,Regular Season - 7,2026-09-19T14:00:00+00:00,ST Johnstone,Falkirk,1,1,2,1403,McDiarmid Park,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,15.767,10.6,53.333,6.3,1003,0,0,0,0,30320,29.3,32.4,57.333,63,0,21,9,8,7,11,,,2,0,0,1,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1556668,179,Premiership,2026,Regular Season - 7,2026-09-19T14:00:00+00:00,ST Mirren,Dundee Utd,0,3,3,11913,The SMISA Stadium,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,14.067,9.767,70.333,8.733,1001.167,0.5,0.5,0,0,20620,27.133,29.2,52.467,56.2,1,23,9,8,6,11,,,3,0,0,0,2,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1557409,39,Premier League,2026,Regular Season - 5,2026-09-19T14:00:00+00:00,Brighton,Arsenal,3,0,3,508,American Express Stadium,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,VERIFIED_CITY_COUNTRY_V2,PBK_GEOCODE_V2,18.167,16.033,86.333,15.833,1005.9,0,0,0,0,24300,28.4,28.4,52.933,53.3,3,28,7,9,4,11,,,3,0,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1557410,39,Premier League,2026,Regular Season - 5,2026-09-19T14:00:00+00:00,Everton,Ipswich,1,0,1,22033,Hill Dickinson Stadium,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,VERIFIED_CITY_COUNTRY_V2,PBK_GEOCODE_V2,18.733,15.4,56,9.767,1009.667,0,0,0,0,24360,22.7,25.2,43.233,47.2,3,34,6,12,5,8,,,1,0,0,1,1,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1557414,39,Premier League,2026,Regular Season - 5,2026-09-19T14:00:00+00:00,Newcastle,Hull City,2,1,3,562,St. James' Park,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,17.2,13.267,54,7.8,1002.3,0,0,0,0,21780,23.133,24.8,47.2,50.8,3,33,9,12,6,11,,,3,1,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
